asset_code,name,canonical_asset_code,identity_status,identity_verified,available_features,required_features,feature_coverage,prediction_eligible,blocker_count,blockers,feature_status
AP_BR_OSM_G_1000025161,Unnamed OSM bridge group 1000025161,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1000025163,Unnamed OSM bridge group 1000025163,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019087,Unnamed OSM bridge group 100019087,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019088,Unnamed OSM bridge group 100019088,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019092,Unnamed OSM bridge group 100019092,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019102,Unnamed OSM bridge group 100019102,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019116,Unnamed OSM bridge group 100019116,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019135,Unnamed OSM bridge group 100019135,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_100019139,Unnamed OSM bridge group 100019139,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1000336463,Unnamed OSM bridge group 1000336463,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
