source_id,document,evidence_role,page,classification,bridge_terms,condition_terms,defect_terms,component_terms,inspection_terms,repair_terms,bridge_identifiers,matched_asset_codes,matched_asset_names,snippet,training_label_candidate,promote_to_ml,manual_review_required
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,19,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,CONDITION,,,,MAINTENANCE,Km.212.983; Km 213.000; Km 322.800; Km 322.840,,,"e ""DBOT Annuity"" or ""Hybrid Annuity"") basis, which shall be partly financed by the Concessionaire who shall recover its investment and costs through payments to be made by the Authority, in accordance with the terms and conditions to be set forth in a concession agreement to be entered into. (B) The Authority had adopted a single stage two envelope bidding process and accordingly invited proposals by its Request for Proposals dated 22.12.2017 (the ""Request for Proposals"" or ""RFP"") for qualification and selection of bidders for construction, operation and maintenance of the above referred Project on Hybrid Annuity basis. (C) The Authority had prescribed the technical and commercial terms and ",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,20,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,,RUST,,,REHABILITATION,km 212.983; km 213.000; km 322.840,,,"ended, modified, supplemented, extended or re­ enacted; t.(c) references to a ""person"" and words denoting a natural person shall be !-; ~ construed as a reference to any individual, firm, company, corporation, society, trust, government, state or agency of a state or any association or partnership (whether or not having separate legal personality) of two or more of the above and shall include successors and assigns; ;:.­,-.' (d) the table of contents, headings or sub-headings in this Agreement are for convenience of reference only and shall not be used in, and shall not affect, the construction or interpretation of this Agreement; (e) the words ""include"" and ""including"" are to be construed w",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,26,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,CONDITION,,,,REHABILITATION,km 212.983; km 213.000; km 322.800; km 322.840,,,"ed and thirty) days and Operation Period of 15 (Fifteen) years commencing from COD, and the Concessionaire hereby accepts the Concession and agrees to implement the Project subjectto and in accordance with the terms and conditions set forth herein. 3.1.2 Subject to and in accordance with the provisions of this Agreement, the Concession hereby granted shall oblige or entitle (asthe case may be) the Concessionaire to: (a] Right of Way, access and license to the Site for the purpose of and to the extent conferred by the provisions of this Agreement; (b) finance and construct the Project; (c) manage, operate and maintain the Project; (d) perform and fulfill all of the Concessionaire's obligation",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,27,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,BRIDGE; ROAD OVER BRIDGE,CONDITION,,,,,km 322.840,,,". National Highways Authority of India Concession Agreement ARTICLE 4 CONDITIONS PRECEDENT 4.1 Conditions Precedent 4.1.1 Save and except as expressly provided in Articles 4, S, 6, 7, 8, 9, 10, 22, 28,38 and 41, or unless the context otherwise requires, the respective rights and obligations of the Parties under this Agreement shall be subject to the satisfaction in full of the conditions precedent specified in this Clause4.1 (the ""Conditions Precedent""). 4.1.2 The Concessionaire may, upon providing the Performance Security to the Authority in accordance with Article 9, at any time after 30 (thirty) days from the date of this Agreement or on an earlier day acceptable to the Authority, by noti",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,28,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,CONDITION,,,,REHABILITATION,km 213.000; km 322.840,,,"ctive confirmation of the correctness of the representations and warranties set forth in Sub-clauses (k), (I) and (m) of Clause 7.1 of this Agreement. 4.1.4 Each Party shall make all reasonable endeavours to satisfy the Conditions Precedent within the time stipulated and shall provide the other Party with such reasonable cooperation as may be required to assist that Party in satisfying the Conditions Precedent for which that Party is responsible. Subject only to payment of Damages, it is agreed between the Parties that the obligation to fulfill each parties' Conditions Precedent is an independent obligation of the respective Party. 4.1.S The Parties shall notify each other in writing at leas",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,30,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,CONDITION; GOOD,,,,MAINTENANCE,km 83; km 322.840,,,"National Highways Authority of India Concession Agreement ARTICLE 5 OBI.IGATIONS OF THE CONCESSIONAIRE 5.1 Obligations of the Concessionaire 5.1.1 Subject to and on the terms and conditions of this Agreement, the Concessionaire shall, at its own cost and expense, procure finance for and undertake the design, engineering, procurement, construction, operation and maintenance of the Project and observe, fulfill, comply with and perform all its obligations set out in this Agreement or arising hereunder. ~.- 5.1.2 The Concessionaire shall comply (including renewals as required) Agreement. with all Applicable in the performance Laws and Applicable Permits of its obligations under this 5.1.3 5.1.4 ",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,36,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,BRIDGE; ROAD OVER BRIDGE,CONDITION; DETERIORATION,,,,REPAIR; REPAIRS; REHABILITATION; MAINTENANCE,km 212.9; km 213.000; km 322.840,,,"::~ National Highways Authority of India Concession Agreement other than approval of the General Approval Drawings of the Railway authorities for construction of such road over bridges/under bridges. 6.2 Maintenance obligations prior to Appointed Date 6.2.1 During the Development Period, the Concessionaire shall maintain the existing Project Highway, in such a manner so as to ensure that the road is in pothole free condition and also to ensure that the quality of service and safety are maintained and in the event of any material deterioration or damage other than normal wear and tear, the Concessionaire shall undertake repair thereof. It.is deemed that the Concessionaire has made necessary p",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,38,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,CONDITION,,,,REHABILITATION,km 213.000,,,"urisdiction of its incorporation or registration, as the case may be, and has requested the Authority to enter into this Agreement with itself/ the Concessionaire pursuant to the Letter of Award, and has agreed to and unconditionally accepted the terms and conditions set forth in this Agreement; (m) all its rights and interests in the Project shall pass to and vest in the Authority on the Transfer Date free and clear of all liens, claims and Encumbrances, without any further act or deed on its part or that of the Authority, and that none of the Project Assets shall be acquired by it Subject to any agreement under which a security interest or other lien or Encumbrance is retained by any perso",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,39,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,GOOD,,,,,km 21.; km 213.000; km 322.800; km 322.840,,,"y to perform its obligations under this Agreement; (f) (g) It has complied with Applicable Laws in all material respects; It has the right, power and authority to manage and operate the Project; and (h) It shall procure good and valid right to the Site, and has power and authority to grant a license in respect thereto to the Concessionaire. 7.3 Disclosure In the event that any occurrence or circumstance comes to the attention of either Party that renders any of its aforesaid representations or warranties untrue or incorrect, such Party shall immediately notify the other Party of the same. Such notification shall not have the effect of remedying any breach of the representation or warranty th",False,False,True
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,REHABILITATION_ENGINEERING_EVIDENCE,40,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,,CONDITION,,,ORN,REHABILITATION,km 213.000; km 322.800; km 322.840,,,"eement, the Concessionaire has, after a complete and careful examination, made an independent evaluation of the Request for Proposals, Scope of the Project, Specifications and Standards, Site, existing structures, local conditions, physical qualities of ground, subsoil and geology, and all information provided by the Authority or obtained, procured or gathered otherwise, and has determined to its satisfaction the accuracy or otherwise thereof and the nature and extent of difficulties, risks and hazards as are likely to arise or may be faced by it in the course of performance of its obligations hereunder. The Authority makes no representation whatsoever, express, implicit or otherwise, regard",False,False,True
