source_id,document,evidence_role,page,classification,bridge_terms,condition_terms,defect_terms,component_terms,inspection_terms,repair_terms,bridge_identifiers,matched_asset_codes,matched_asset_names,snippet,training_label_candidate,promote_to_ml,manual_review_required
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,9,INSPECTION_STANDARD_ONLY,BRIDGE,,,FOUNDATION; PIER; PIERS; ABUTMENT; SUBSTRUCTURE,INSPECTION,MAINTENANCE,,,,"VII CONTENTS CHAPTER I – DUTIES OF BRIDGE OFFICIALS PART A - DUTIES OF ASSISTANT ENGINEER 01 101 General 01 102 Inspection of Bridges 01 103 Inspection of Tunnels 01 104 Maintenance of Bridges & Structures 01 PART B - DUTIES OF ASSISTANT (BRIDGE) ENGINEER/ DIVISIONAL (BRIDGE) ENGINEER IN CHARGE OF BRIDGES IN DIVISION 02 105 Inspection of Bridges and other Structures 02 106 Maintenance of Bridges and other Structures 02 PART C - DUTIES OF BRIDGE INSPECTOR 02 107 Inspection of Bridges and other Structures 02 108 Knowledge of Rules and Regulations 03 109 Co-ordination with Permanent Way, Works, and Higher Staff of other Departments 03 110 Accompanying on Inspections of Higher Officials 03 111 E",False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,10,INSPECTION_STANDARD_ONLY,BRIDGE; MAJOR BRIDGE; MINOR BRIDGE; RUB,DEFECT,CRACK; CORROSION,FOUNDATION; BEARING; BEARINGS; GIRDER,INSPECTION,REPAIR; STRENGTHENING; REPLACEMENT; MAINTENANCE,,,,VIII 209 Details of common repair techniques 15 PART D - MAINTENANCE OF SUPER STRUCTURE-REINFORCED CEMENT CONCRETE & PRESTRESSED CONCRETE BRIDGES 19 210 Periodical maintenance 19 211 Common defects and repair/strengthening techniques 19 PART E - MAINTENANCE OF SUPER STRUCTURE STEEL GIRDERS 20 212 Loss of camber in steel girders 20 212A A Residual Fatigue Life Assessment of old steel girders 20 213 Cracks in steel works 21 214 Strengthening of weak girders 21 215 Replacement of loose rivets 21 215A Maintenance of HSFG Bolts 23 216 Corrosion and its prevention 23 217 Protective Coatings by painting. 23 218 Metallising & Epoxy based Paints 27 219 Maintenance of welded girders 29 PART F - MAINTE,False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,11,INSPECTION_STANDARD_ONLY,BRIDGE,DEFECT,,FOUNDATION; SUBSTRUCTURE,,,,AP_BR_OSM_W548905049; AP_BR_OSM_W548905059; AP_BR_OSM_W548905063; AP_BR_OSM_W548905068; AP_BR_OSM_W548993084; AP_BR_OSM_W630894952,railway line; railway line; railway line; railway line; railway line; railway line,"IX 312 Vertical Clearance 42 313 Free Board (F) 42 314 Standard of substructure for new railway lines 43 315 Final Project Report in the case of important Bridges 43 316 Choice of Foundations for Bridges 43 317 Approval of bridge drawings for doublings, gauge conversions, new lines and other bridge works 44 318 Approval of bridge drawings for Dedicated Freight Corridor lines 44 CHAPTER IV – CONSTRUCTION OF FOUNDATIONS FOR BRIDGES 401 Setting the layout of Bridges 45 402 Pipe and Box Culverts with open foundations 46 403 Other Bridges with open foundations 46 404 Excavation using Coffer Dam 46 405 Choice of pile materials 46 406 Soil exploration for design and construction of Piles 47 407 Cla",False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,12,INSPECTION_STANDARD_ONLY,BRIDGE,DISTRESS,CRACK,FOUNDATION; PIER; PIERS; ABUTMENT; SUPERSTRUCTURE; SUBSTRUCTURE; GIRDER; SLAB,ORN,REHABILITATION; STRENGTHENING; REPLACEMENT,,,,X 431 Setting out of the Piers on the top of well 60 432 Construction of well Cap (Entablature) 60 CHAPTER V – REHABILITATION OF BRIDGES 501 Reasons for Rehabilitation 61 502 Special Strengthening 61 503 Speed Restrictions 61 504-509 Deleted 61 510 Site Data 61 511 Execution of Rehabilitation Works 61 512 Strengthening of foundations 62 513 Strengthening/rebuilding of substructure 62 514 Shaken/displaced/ cracked bed blocks 63 515 Arch bridges 64 516 Replacement of non-standard girders 65 516A Replacement of Steel Girders up to spans of 12.2 m 66 517 Replacement of pipe culverts 66 518 Distress in Parapets 66 519 Replacement of small opening 66 520 Distress in superstructure 66 521 Replaceme,False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,13,INSPECTION_STANDARD_ONLY,BRIDGE,,,GIRDER,INSPECTION,,,,,"hing nose 83 628 Erection by cantilevering method 83 629 Enveloping Method 84 PART D - CONSTRUCTION OF HEIGHT GAUGES 84 630 Height Gauges 84 CHAPTER VII – RIVERS AND FLOODS 701 Behaviour of Rivers 85 702 Past History of Bridges 85 703 Danger Level at Bridges 85 703A Continuous Water Level Monitoring 87 704 Watchmen at Bridges 87 705 Duties and Equipment of Bridge watchmen 87 706 Action to be taken by the Permanent way inspector at site 88 707 Special Inspection during Monsoon 89 708 Action to be taken in the case of weather warning 89 709 Pitching stone, boulder and other monsoon reserves 89 710 Floods Records 90 711 Flood Records during monsoon 90 712 Flood records after the monsoon 91 712A",False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,14,INSPECTION_STANDARD_ONLY,BRIDGE,,LEAKAGE,,INSPECTION,MAINTENANCE,,,,"XII 717 Provision of Anemometer on Bridges 94 CHAPTER VIII – RIVER TRAINING AND PROTECTION WORKS 801 Training/Protection of Various type of Rivers 95 802 Upper Reaches (Mountainous Riverts) 95 803 Submontane Reaches (Foot hills) 95 804 Quasi-Alluvial Reaches (Trough) 96 805 Alluvial Reaches 96 806 Tidal Reaches 97 807 South Indian Rivers 98 808 Important Considerations for Hydraulic Structures 98 809 River Training Works 98 810 Guide Bunds 99 811 Spurs (Groynes) 101 812 Marginal Bunds 104 813 Closure Bunds 105 814 Assisted Cut-Offs 105 815 Boulder Crates 105 816 Sausage Crates 106 817 Protection of Approach Banks 106 818 Design for Protection Works 106 CHAPTER IX – FABRICATION, ERECTION, INS",False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,15,INSPECTION_STANDARD_ONLY,BRIDGE,,,,INSPECTION,REPAIR; REPAIRS; MAINTENANCE,,,,XIII 1010 General 116 1011 Schedule of Inspection of Cuttings 116 1012 Vulnerable Cuttings – Identification and Special Precautions 117 1013 Points to be noted during Inspection of cuttings 117 1014 Inspection of Boulder nets provided in cuttings 118 1015 Inspection of Rock bolts provided in Cuttings/Tunnels. 118 1016 Action to be taken in case of Boulder fall 118 1017 Action to be taken for maintenance of cuttings 119 CHAPTER XI – INSPECTION OF BRIDGES 1101 By Permanent Way and Works Inspectors 120 1102 By Bridge Inspectors 121 1103 Inspection by Assistant Engineers 121 1104 By Divisional Engineers and Chief Bridge Engineers/Nominated SAG Officer in Headquarter 125 1105 By Assistant Enginee,False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,17,INSPECTION_STANDARD_ONLY,BRIDGE,,CRACK,FOUNDATION; PIER; ABUTMENT; BEARING; BEARINGS; GIRDER,,,Bridge Number on,,,"XV LIST OF ANNEXURES Annexure Particulars of Sketch/Proforma Para reference 2/1 Provision of Bridge Number on Parapet Wall 203 2/2 Curtain Wall, Drop Wall and Flooring 204 2/3 Toe Wall and Pitching 205 2/4 Cracks in Arches-types 208 2/5 Cracks in Arches-types 208 2/6 Pressure Grouting Machine 209 2/7 Cement Pressure Grouting 209 2/8 Epoxy Grouting 209 2/9 Guniting Machine 209 2/10 Sliding Centralized Bearings 222 2/11 Roller & Rocker Bearings 222 2/12 Elastomeric and PTFE Bearings 222 2/13 Caution Indicator for TE Limitation 225 2/14 TE Limit Operation Indicator 225 2/15 Termination Indicator for TE Limitation 225 2/16 Position for TE Limit Operation Indicator 225 2/17 Assessment of Residual",False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,18,INSPECTION_STANDARD_ONLY,BRIDGE,,,PIER; PIERS; ABUTMENT; GIRDER; SLAB,INSPECTION; BRIDGE INSPECTION REGISTER,REHABILITATION; STRENGTHENING; REPLACEMENT,,AP_BR_OSM_W487371413,Bridge 1,"XVI 5/1 Deleted 5/2 Replacement of cast iron screw piłes by bored piles 512 5/3 Strengthening of piers and abutments 513 5/4 Encasement and replacement of bed block 514 5/5 Rehabilitation of arch bridges by various methods 515 5/6 Rehabilitation with slabs 516 5/7 Box pushing technique 517 5/8 Rehabilitation of parapets 518 6/1 Types of piers 604 6/2 Types of abutments, wing walls and returns 604 6/3 Back fill material and Weep holes behind abutments 605 6/4 Sequence of work in an arch 608 6/5 Erection by use of launching girders and cantilever method 610 6/6 Cantilever launching and incremental launching of precast elements 610 6/7 Erection with derrick 622 6/8 Launching with rail clusters ",False,False,True
IR_IRBM_2024,Indian_Railway_Bridge_Manual_2024.pdf,INSPECTION_STANDARD,19,INSPECTION_STANDARD_ONLY,BRIDGE; MINOR BRIDGE,,,GIRDER,INSPECTION; BRIDGE INSPECTION REGISTER,,,,,XVII 11/4 Index of bridges 1103 11/5 General key plan for Bridge Inspection Register Details 1103 11/6 Details of classification of structures 1103 11/7 Details about inscription plaques 1103 11/8 Proforma of bridge register for Major and Important bridges 1103 11/9 Proforma of bridge register for inspection of Major & Important bridges 1103 11/0 Proforma of bridge register for details of Minor bridges 1103 11/11 Proforma for inspection of Minor bridges 1103 11/12 Procedure for rivet testing 1107 11/13 Sample rivet test register 1102 11/14 PSC girders camber measuring method 1107 11/15 Details of tools and equipment for inspection of bridges 1109 12/1 Proforma of form of agreement for hire o,False,False,True
