source_id,document,page,ml8d_classification,review_tier,canonical_asset_count,canonical_asset_codes,canonical_asset_names,inspection_context,condition_words,rating_values,defect_words,bridge_identifiers,candidate_training_label,verified_for_ml,manual_review_required,page_text_excerpt
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,19,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,Km.212.983; Km 213.000; Km 322.800; Km 322.840,False,False,True,"to augment the existing road from design Km.212.983 (Existing Km 213.000) to Design Km 322.800 (existing Km 322.840)(Design Length 112.797km) on the section of National Highway No. 544D (hereinafter called the ""NH-544D"") in the State of Andhra Pradesh by Two-Laning thereof (the ""Project"") on design, build, operate and transfer (the ""DBOT Annuity"" or ""Hybrid Annuity"") basis, which shall be partly financed by the Concessionaire who shall recover its investment and costs through payments to be made by the Authority, in accordance with the terms and conditions to be set forth in a concession agreement to be entered into. (B) The Authority had adopted a single stage two envelope bidding process and accordingly invited proposals by its Request for Proposals dated 22.12.2017 (the ""Request for Proposals"" or ""RFP"") for qualification and selection of bidders for construction, operation and maintenance of the above referred Project on Hybrid Annuity basis. (C) The Authority had prescribed the technical and commercial terms and conditions in the RFP, and invited bids comprising technical and financial bids from the bidders for undertaking the Project. (D) After evaluation of the bids received, the Authority had technically qualified certain bidders including, interalia, the selected bidder c"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,20,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 212.983; km 213.000; km 322.840,False,False,True,"National Highways Authority of India Concession Agreement ARTICLE 1 DEFINITIONS AND INTERPRETATION 1.1 Definitions The words and expressions beginning with capital letters and defined in this Agreement (including those in Article 42) shall, unless the context otherwise requires, have the meaning ascribed thereto herein, and the words and expressions defined in the Schedules and used therein shall have the meaning ascribed thereto in the Schedules. 1.2 Interpretation 1.2.1 In this Agreement, unless the context otherwise requires, .': (a) references to any legislation or any provision thereof shall include amendment or re-enactment or consolidation of such legislation or any provision thereof so far as such amendment or re-enactment or consolidation applies or is capable of applying to any transaction entered into hereunder; (b) references to laws of India or Indian law or regulation having the force of law shall include the laws, acts, ordinances, rules, regulations, bye laws or notifications which have the force of law in the territory of India and as from time to time may be amended, modified, supplemented, extended or re­ enacted; t.(c) references to a ""person"" and words denoting a natural person shall be !-; ~ construed as a reference to any individual, firm, company, corporat"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,26,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 212.983; km 213.000; km 322.800; km 322.840,False,False,True,"National Highways Authority of India Concession Agreement ARTICLE 3 GRANTOF CONCESSION 3.1 The Concession 3.1.1 Subject to and in accordance with the provisions of this Agreement, Applicable Laws and Applicable Permits, the Authority hereby grants to the Concessionairethe concession set forth herein including the exclusive right, license and authority to construct, operate and maintain the Project (the ""Concession"") during the Construction Period of 730(Seven hundred and thirty) days and Operation Period of 15 (Fifteen) years commencing from COD, and the Concessionaire hereby accepts the Concession and agrees to implement the Project subjectto and in accordance with the terms and conditions set forth herein. 3.1.2 Subject to and in accordance with the provisions of this Agreement, the Concession hereby granted shall oblige or entitle (asthe case may be) the Concessionaire to: (a] Right of Way, access and license to the Site for the purpose of and to the extent conferred by the provisions of this Agreement; (b) finance and construct the Project; (c) manage, operate and maintain the Project; (d) perform and fulfill all of the Concessionaire's obligations under and in accordance with this Agreement; (e) save as otherwise expressly provided in this Agreement, bear and pay all costs, "
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,27,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 322.840,False,False,True,". National Highways Authority of India Concession Agreement ARTICLE 4 CONDITIONS PRECEDENT 4.1 Conditions Precedent 4.1.1 Save and except as expressly provided in Articles 4, S, 6, 7, 8, 9, 10, 22, 28,38 and 41, or unless the context otherwise requires, the respective rights and obligations of the Parties under this Agreement shall be subject to the satisfaction in full of the conditions precedent specified in this Clause4.1 (the ""Conditions Precedent""). 4.1.2 The Concessionaire may, upon providing the Performance Security to the Authority in accordance with Article 9, at any time after 30 (thirty) days from the date of this Agreement or on an earlier day acceptable to the Authority, by notice require the Authority to satisfy all of the Conditions Precedent set forth in this Clause4.1.2 within a period of 120 (one hundred and twenty) days thereafter. The Conditions Precedent required to be satisfied by the Authority shall be deemed to have been fulfilled when the Authority shall have: (a) procured for the Concessionaire the Right of Way to the Site in accordance with the provisions of Clauses 10.3.1 and 10.3.2; (b) procured all Applicable Permits relating to environmental protection, and conservation in respect land forming part of the Right of Way under Clause 10.3.1 and 10.3.2;"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,28,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 213.000; km 322.840,False,False,True,"National Highways Authority of India Concession Agreement (e) executed the Financing Agreements and delivered to the Authority 3 (three) true copies thereof, duly attested by a Director of the Concessionaire; (f) delivered to the Authority 3 (three) true copies of the Financial Package and the Financial Model, duly attested by a Director of the Concessionaire, along with 3 (three) soft copies of the Financial Model in MS Excel version or any substitute thereof, which is acceptable to the Senior Lenders; and (g) delivered to the Authority from the Consortium Members, their respective confirmation of the correctness of the representations and warranties set forth in Sub-clauses (k), (I) and (m) of Clause 7.1 of this Agreement. 4.1.4 Each Party shall make all reasonable endeavours to satisfy the Conditions Precedent within the time stipulated and shall provide the other Party with such reasonable cooperation as may be required to assist that Party in satisfying the Conditions Precedent for which that Party is responsible. Subject only to payment of Damages, it is agreed between the Parties that the obligation to fulfill each parties' Conditions Precedent is an independent obligation of the respective Party. 4.1.S The Parties shall notify each other in writing at least once a month o"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,30,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,GOOD,,,km 83; km 322.840,False,False,True,"National Highways Authority of India Concession Agreement ARTICLE 5 OBI.IGATIONS OF THE CONCESSIONAIRE 5.1 Obligations of the Concessionaire 5.1.1 Subject to and on the terms and conditions of this Agreement, the Concessionaire shall, at its own cost and expense, procure finance for and undertake the design, engineering, procurement, construction, operation and maintenance of the Project and observe, fulfill, comply with and perform all its obligations set out in this Agreement or arising hereunder. ~.- 5.1.2 The Concessionaire shall comply (including renewals as required) Agreement. with all Applicable in the performance Laws and Applicable Permits of its obligations under this 5.1.3 5.1.4 Saveand except as otherwise provided in this Agreement or Applicable Laws, asthe case may be, the Concessionaire shall, in discharge of all its obligations under this Agreement, conform with and adhere to Good Industry Practice at all times. The Concessionaire shall, at its own cost and expense, in addition to and not in derogation of its obligations elsewhere set out in this Agreement: ..~. (a) make, or cause to be made, necessary applications to the relevant Government Instrumentalities with such particulars and details as may be required for obtaining Applicable Permits, other than those se"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,36,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 212.9; km 213.000; km 322.840,False,False,True,"::~ National Highways Authority of India Concession Agreement other than approval of the General Approval Drawings of the Railway authorities for construction of such road over bridges/under bridges. 6.2 Maintenance obligations prior to Appointed Date 6.2.1 During the Development Period, the Concessionaire shall maintain the existing Project Highway, in such a manner so as to ensure that the road is in pothole free condition and also to ensure that the quality of service and safety are maintained and in the event of any material deterioration or damage other than normal wear and tear, the Concessionaire shall undertake repair thereof. It.is deemed that the Concessionaire has made necessary provisions for inclusion of costs related to maintenance during the Development Period in its Bid. Provided that in case Appointed Date is not achieved and the Concession Agreement is terminated prior to achievement of Appointed Date, the Concessionaire shall be reimbursed the cost of maintenance during Development Period by the Authority after due certification by the Authorized Representative of the Authority. For the purpose of such reimbursement, the lump sum per kilometer rate of reimbursement for a period of 1 (one) year would be Rs.2,84,000/-(Rupees two lakh Eighty four thousand only)and"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,38,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 213.000,False,False,True,"National Highways Authority of India Concession Agreement (j) it has complied with Applicable Laws in all material respects and has not been subject to any fines, penalties, injunctive relief or any other civil or criminal liabilities which in the aggregate have or may have a material adverse effect on its ability to perform its obligations under this Agreement; .~.: (k) it shall at no time undertake or permit any Change in Ownership except in accordance with the provisions of Clause 5.3 and that the selected bidder, together with its Associates, hold not less than 51% (fifty-one percent) of its issued and paid up Equity as on the date of this Agreement; Provided further that any such request made under Clause 7.1(k) and / or Article 42, at the option of the Authority, may be required to be accompanied by a suitable no objection letter from Senior Lenders (I) the selected bidder is duly organized and validly existing under the laws of the jurisdiction of its incorporation or registration, as the case may be, and has requested the Authority to enter into this Agreement with itself/ the Concessionaire pursuant to the Letter of Award, and has agreed to and unconditionally accepted the terms and conditions set forth in this Agreement; (m) all its rights and interests in the Project s"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,39,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,GOOD,,,km 21.; km 213.000; km 322.800; km 322.840,False,False,True,"NationalHighways Authorityof India Concession Agreement (b) It has taken all necessary actions under Applicable execution, delivery and performance of this Agreement; Laws to authorize the (c) It has the financial standing and capacity to perform its obligations under this Agreement; (d) This Agreement constitutes a legal, valid and binding obligation enforceable against it in accordance with the terms hereof; (e) it has no knowledge of any violation or default with respect to any order, writ, injunction or any decree of any court or any legally binding order of any Government Instrumentality which may result in any material adverse effect on the Authority's ability to perform its obligations under this Agreement; (f) (g) It has complied with Applicable Laws in all material respects; It has the right, power and authority to manage and operate the Project; and (h) It shall procure good and valid right to the Site, and has power and authority to grant a license in respect thereto to the Concessionaire. 7.3 Disclosure In the event that any occurrence or circumstance comes to the attention of either Party that renders any of its aforesaid representations or warranties untrue or incorrect, such Party shall immediately notify the other Party of the same. Such notification shall not hav"
NHAI_AP_GIDDALUR_VINUKONDA,NHAI_Giddalur_Vinukonda_NH544D.pdf,40,IDENTIFIED_BRIDGE_CONDITION_CANDIDATE,D_INSUFFICIENT_FOR_LABEL,0,,,False,,,,km 213.000; km 322.800; km 322.840,False,False,True,"National Highways Authority of India Concession Agreement ARTICLE 8 DISCLAIMER 8.1 Disclaimer 8.1.1 The Concessionaire acknowledges that prior to the execution of this Agreement, the Concessionaire has, after a complete and careful examination, made an independent evaluation of the Request for Proposals, Scope of the Project, Specifications and Standards, Site, existing structures, local conditions, physical qualities of ground, subsoil and geology, and all information provided by the Authority or obtained, procured or gathered otherwise, and has determined to its satisfaction the accuracy or otherwise thereof and the nature and extent of difficulties, risks and hazards as are likely to arise or may be faced by it in the course of performance of its obligations hereunder. The Authority makes no representation whatsoever, express, implicit or otherwise, regarding the accuracy, adequacy, correctness, reliability and/or completeness of any assessment, assumptions, statement or information provided by it and the Concessionaire confirms that it shall have no claim whatsoever against the Authority in this regard. 8.1.2 The Concessionaire acknowledges and hereby accepts the risk of inadequacy, mistake or error in or relating to any of the matters set forth in Clause 8.1.1 above and here"
