document,page,bridge_identifiers,condition_words,rating_values,defect_words,resolution_status,matched_asset_codes,match_count,candidate_training_label,verified_for_ml,database_modified,matches_json,page_text_excerpt
NHAI_Giddalur_Vinukonda_NH544D.pdf,57,km 213.000; km 322.840,GOOD,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India Concession Agreement attributable to the Authority; provided further that the Punch List shall also include the cost of completion for each of the outstanding items. 14.3.2 The Parties hereto expressly agree that a Provisional Certificate under this Clause 14.3 may, upon request of the Concessionaire to this effect, be issued for operating part of the Project, if the Concessionaire has completed construction of 100% (Hundred per cent) of the Site made available to the Concessionaire up to 146 days from the Appointed Date. Upon issue of such Provisional Certificate, the provisions of Article 15 shall apply to such completed part, and the rights and obligations of the Concessionaire for and in respect of such completed part of the Project shall be construed accordingly. 14.4 Completion of Punch List items "" 14.4.1 All items in the Punch List shall be completed by the Concessionaire within 90 (ninety) days of the date of issue of the Provisional Certificate and for any delay thereafter, other than for reasons solely attributable to the Authority or due to Force Majeure, the Authority shall be entitled to recover Damages from the Concessionaire to be calculated and paid for each day of delay until all items are completed, at the lower of [a] 0.1% "
NHAI_Giddalur_Vinukonda_NH544D.pdf,64,km 212.; km 213.000; km 322.840,GOOD,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India Concession Agreement agreed that the debris and material excavated shall be carried to and deposited at the location identified by the Authority and/or Independent Engineer. 17.1.3 The Concessionaire shall maintain, in conformity with Good Industry Practice, all stretches of approach roads. 17.2 Maintenance Requirements The Concessionaire shall procure that at all times during the Operation Period; the Project conforms to the maintenance requirements set forth in Schedule-K (the ""Maintenance Requirements""). 17.3 Maintenance Manual 17.3.1 No later than 90 (ninety) days prior to the Scheduled Completion Date, the Concessionaire shall, in consultation with the Independent Engineer, evolve a repair and maintenance manual (the ""Maintenance Manual"") for the regular and preventive maintenance of the Project in conformity with the Specifications and Standards, Maintenance Requirements, Safety Requirements and Good Industry Practice, and shall provide 5 (five) copies thereof to the Authority and 2 (two) copies to the Independent Engineer. The Maintenance Manual shall be revised and updated once every 3 (three) years and the provisions of this Clause shall apply, mutatis mutandis, to such revision. 17.3.2 Without prejudice to the provision of Clause 17."
NHAI_Giddalur_Vinukonda_NH544D.pdf,70,km 212.983; km 213.000; km 322.840,GOOD,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India ConcessionAgreement ARTICLE 19 MONITORING OF OPERATION AND MAINTENANCE 19.1 Monthly status reports 19.1.1 During the Operation Period, the Concessionaire shall, no later than 7 (seven) days after the close of each month, furnish to the Authority and the Independent Engineer a monthly report stating in reasonable detail the condition of the Project including its compliance or otherwise with the Maintenance Requirements, Maintenance Manual, Maintenance Program and Safety Requirements, and shall promptly give such other relevant information as may be required by the Independent Engineer or the Authority, In particular, such report shall separately identify and state in reasonable detail the defects and deficiencies that require rectification. .~. 19.1.2 During the Operation Period, the Concessionaire shall, no later than 10 (ten) days after the close of each month, furnish a monthly management report which shall include a summary of: (a) key performance indicators achieved in the month, along with an analysis of reasons for failures, if any, and proposals to remedy the same; (b) key operational hurdles and deliverables in the succeeding month along with strategies for addressing the same and for otherwise improving the Project's operational perfo"
NHAI_Giddalur_Vinukonda_NH544D.pdf,92,km 212.983; km 213.000; km 322.840,GOOD,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India Concession Agreement ARTICLE 28 FORCE MAJEURE 28.1 Force Majeure As used in this Agreement, the expression ""Force Majeure"" or ""Force Majeure Event"" shall, save and except as expressly provided otherwise, mean occurrence in India of any or all of Non-Political Event, Indirect Political Event and Political Event, as defined in Clauses 2.8.2., 2.8.3 and 2.8.4 respectively, if it affects the performance by the Party claiming the benefit of Force Majeure (the ""Affected Party"") of its obligations under this Agreement and which act or event (a) is beyond the reasonable control ofthe Affected Party, and (b) the Affected Party could not have prevented or overcome by exercise of due diligence and following Good Industry Practice, and (c) has Material Adverse Effect on the Affected Party. 28.2 Non-Political Event A Non-Political Event shall mean one or more of the following acts or events: (a) act of God, epidemic, extremely adverse weather conditions, lightning, earthquake, landslide, cyclone, flood, volcanic eruption, chemical or radioactive contamination or ionizing radiation, fire or explosion (to the extent of contamination or radiation or fire or explosion originating from a source external to the Site); (b) strikes or boycotts (other than those in"
NHAI_Giddalur_Vinukonda_NH544D.pdf,108,km 212.; km 213.000; km 322.840,GOOD; FAIR,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India Concession Agreement Not earlier than 90 (ninety) days prior to Termination but not later than 15 (fifteen) days prior to the effective date of such Termination, the Independent Engineer shall verify, after giving due notice to the Concessionaire specifying the time, date and place of such verification and/or inspection, compliance by the Concessionaire with the Maintenance Requirements, and if required, cause appropriate tests to be carried out at the Concessionaire's cost for this purpose. Defaults, if any, in the Maintenance Requirements shall be cured by the Concessionaire at its cost and the provisions of Article 33 shall apply, mutatis mutandis, in relation to curing of defects or deficiencies under this Article 32. .;;"" 32.3 Cooperation and assistance on transfer of Project ::. 32.3.1 The Parties shall cooperate on a best effort basis and take all necessary measures, in good faith, to achieve a smooth transfer of the Project in accordance with the provisions of this Agreement so as to protect the safety of and avoid undue delay or inconvenience to the Users, other members of the public or the lawful occupiers of any part of the Site. 32.3.2 The Parties shall provide to each other, 9 (nine) months prior to the Transfer Date in the event "
NHAI_Giddalur_Vinukonda_NH544D.pdf,240,km 21; km 213.000; km 322.840,GOOD; FAIR,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National HighwaysAuthority of India Concession Agreement 3.2 The Independent Engineer shall discharge its duties in a fair, impartial and efficient manner, consistent with the highest standards of professional integrity and Good Industry Practice. 4 Development Period 4.1 During the Development Period, the Independent Engineer shall undertake a detailed review of the Drawings to be furnished by the Concessionaire along with supporting data, including the geo-technical and hydrological investigations, characteristics of materials from borrow areas and quarry sites, topographical surveys and traffic surveys. The Independent Engineer shall complete such review and send its comments/observations to the Authority and the Concessionaire within lS (fifteen) days of receipt of such Drawings. In particular, such comments shall specify the conformity or otherwise of such Drawings with the Scope of the Project and Specifications and Standards. 4.2 The Independent Engineer shall review any modified Drawings or supporting Documents sent to it by the Concessionaire and furnish its comments within 7 (seven) days of receiving such Drawings or Documents. 4.3 The Independent Engineer shall review the Drawings sent to it by the Safety Consultant in accordance with Schedule-L and furnish its comment"
NHAI_Giddalur_Vinukonda_NH544D.pdf,241,km 212.; km 322.840,GOOD; FAIR,,,NO_CANONICAL_MATCH,,0,False,False,False,[],". National Highways Authority of India Concession Agreement in reasonable detail the lapses, defects or deficiencies observed by it in the construction of the Project. The Inspection Report shall also contain a review of the maintenance of the existing lanes in conformity with the provisions of the Agreement. The Independent Engineer shall send a copy of' its Inspection Report to the Authority and the Concessionaire within 7 (seven) daysof the inspection. 5.4 The Independent Engineer may inspect the Project more than once in a month ifany lapses, defects or deficiencies require such inspections. 5.5 For determining that the Construction Works conform to Specifications and Standards, the Independent Engineer shall require the Concessionaire to carry out, or cause to be carried out, tests on a sample basis, to be specified by the Independent Engineer in accordance with Good Industry Practice for quality assurance. For purposes of this Paragraph 5.5, the tests specified in the IRC Special Publication-ll (Handbook of Quality Control for Construction of Roads and Runways) and the Specifications for Road and Bridge Works issued by the Authority (the ""Quality Control Manuals"") or any modification/substitution thereof shall be deemed to be tests conforming to Good Industry Practice for q"
NHAI_Giddalur_Vinukonda_NH544D.pdf,243,km 213.000; km 322.840,GOOD,,,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India Concession Agreement section of the O&M Inspection Report, the Independent Engineer shall describe in reasonable detail the lapses, defects or deficiencies observed by it in O&M of the Project. The Independent Engineer shall send a copy of its O&M Inspection Report to the Authority and the Concessionaire within 7 (seven) days of the inspection. 6.5 The Independent Engineer may inspect the Project more than once in a month, if any lapses, defects or deficiencies require such inspections. 6.6 The Independent Engineer shall in its O&M Inspection Report specify the tests, if any, that the Concessionaire shall carry out, or cause to be carried out, for the purpose of determining that the Project is in conformity with the Maintenance Requirements. It shall monitor and review the results of such tests and the remedial measures, if any, taken by the Concessionaire in this behalf. 6.7 In respect of any defect or deficiency referred to in Paragraph 3 of Schedule- K, the Independent Engineer shall, in conformity with Good Industry Practice, specify the permissible limit of deviation or deterioration with reference to the Specifications and Standards and shall also specify the time limit for repair or rectification of any deviation or deterioration beyond"
NHAI_Giddalur_Vinukonda_NH544D.pdf,244,km 213.000; km 322.840,GOOD,,SETTLEMENT,NO_CANONICAL_MATCH,,0,False,False,False,[],"National Highways Authority of India Concession Agreement ., o the sum set forth in Clause33.2, it shall recommend retention of the required amount in the Escrow Account and the period of retention thereof. 7.2 The Independent Engineer shall inspect the Project once in every 15 (fifteen) days during a period of 90 (ninety) days after Termination for determining the liability of the Concessionaire under Article 33, in respect of the defects or deficiencies specified therein. If any such defect or deficiency is found by the Independent Engineer, it shall make a report in reasonable detail and send it forthwith to the Authority and the Concessionaire. 8 Determination of costs and time 8.1 The Independent Engineer shall determine the costs, and/or their reasonableness, that are required to be determined by it under the Agreement. 8.2 The Independent Engineer shall determine the period, or any extension thereof, that is required to be determined by it under the Agreement. 9 Assistance in Dispute resolution 9.1 When called upon by either Party in the event of any Dispute, the Independent Engineer shall mediate and assistthe Parties in arriving at an amicabie settlement. 9.2 In the event of any disagreement between the Parties regarding the meaning, scope and nature of Good Industry Pra"
NHAI_Tada_Nellore_NH5_Vol_II.pdf,8,km 52.8; km 163.6.,,,CRACKING; SPALLING; CORROSION; RUST; DELAMINATION; LEACHING; DEFORMATION,NO_CANONICAL_MATCH,,0,False,False,False,[],"2.8 Cross Drainage Structure Culverts The culvert inventory and condition survey was canied out between 3rd and 7"" February 2000. The number and type of culverts along the project road occurring in Andhra Pradesh are given in Table A-4 below. Table A-4 : Numbers and types of Culvert Various details pertaining to the culverts were collected including type, location, general condition, span, length, etc., The general purpose of the culverts was considered to be the provision of a crossing for the irrigation streams and drainage. In a few cases it has been to facilitate the crossing of pipelines. The majority of the culverts have been neglected and not received routine maintenance consequently they were found to be heavily silted and in some cases inhibited the flow. General defects that were observed, were erosion of the bed, leaching of abutment walls, edge breaking of slabs, corrosion of reinforcement, obstruction of the vent due to the growth of vegetation, etc., The detailed findings of the inventory and condition survey are provided in Appendix A5.6 of the Final Feasibility Report submitted by the Consultant (SWK). Description Slab Culvert Pipe Culvert Total Bridges Total 117 85 202 A detailed bridge inventory and condition survey was carried out on all the bridges between km "
