page,line_number,chainages,bridge_types,conditions,defects,text
7,20,2.5,,,,results of which are included in the Materials Report submitted by the Consultants | (SWK) along with the PPR for Package B and C. | 2.5 Drainage | There is no significant drainage system along the existing Project Highway. Adequate | care must be taken in doing the detailed design of the drainage system along the
7,24,2.6; 100,,,,"care must be taken in doing the detailed design of the drainage system along the | highway. | 2.6 Road Geometry | The horizontal geometry of the existing road is generally acceptable for the proposed | design speed of 100 kph, however there are a number of areas where local curve"
7,28,100; 2.7,,,,"design speed of 100 kph, however there are a number of areas where local curve | improvement will be necessary . | 2.7 Abutting Landuse | The project highway is characterised by mainly agricultural lands. Only at the urban | locations there is a commercial activity along the highway but this is only for a short"
8,1,2.8; 7,,,,"2.8 Cross Drainage Structure | Culverts | The culvert inventory and condition survey was canied out between 3rd and 7"""
8,13,,,,LEACHING; CORROSION,"culverts have been neglected and not received routine maintenance consequently they | were found to be heavily silted and in some cases inhibited the flow. General defects | that were observed, were erosion of the bed, leaching of abutment walls, edge | breaking of slabs, corrosion of reinforcement, obstruction of the vent due to the | growth of vegetation, etc., The detailed findings of the inventory and condition"
8,14,6,,,LEACHING; CORROSION,"were found to be heavily silted and in some cases inhibited the flow. General defects | that were observed, were erosion of the bed, leaching of abutment walls, edge | breaking of slabs, corrosion of reinforcement, obstruction of the vent due to the | growth of vegetation, etc., The detailed findings of the inventory and condition | survey are provided in Appendix A5.6 of the Final Feasibility Report submitted by"
8,27,85; 202; 52.8; 163.6; 5,BRIDGE,,,85 | 202 | A detailed bridge inventory and condition survey was carried out on all the bridges | between km 52.8 to km 163.6. The site survey has revealed the following details and | are indicated in Table A-5
8,28,202; 52.8; 163.6; 5,BRIDGE,,,202 | A detailed bridge inventory and condition survey was carried out on all the bridges | between km 52.8 to km 163.6. The site survey has revealed the following details and | are indicated in Table A-5 | Table A-5 : List of Bridges along the Project Highway
8,35,,ROB; MINOR BRIDGE,,CRACKING; CRACKS,"Number of Bridges | Number of ROBS | Major bridges (including ROB) | Minor Bridge | (i) Cracking, cracks could be of different types"
8,36,,ROB; MINOR BRIDGE,,CRACKING; CRACKS,"Number of ROBS | Major bridges (including ROB) | Minor Bridge | (i) Cracking, cracks could be of different types | (ii) Scaling"
8,37,,ROB; MINOR BRIDGE,,CRACKING; CRACKS; SPALLING,"Major bridges (including ROB) | Minor Bridge | (i) Cracking, cracks could be of different types | (ii) Scaling | (iii) Spalling of concrete"
8,39,,,,CRACKING; CRACKS; SPALLING; LEACHING; RUST,"(i) Cracking, cracks could be of different types | (ii) Scaling | (iii) Spalling of concrete | (iv) Leaching | (v) Rust stains"
8,40,,,,SPALLING; LEACHING; RUST; DELAMINATION,(ii) Scaling | (iii) Spalling of concrete | (iv) Leaching | (v) Rust stains | (vi) Delamination
8,41,,,,SPALLING; LEACHING; RUST; DELAMINATION; DEFORMATION,(iii) Spalling of concrete | (iv) Leaching | (v) Rust stains | (vi) Delamination | (vii) Deformation
8,42,,,,LEACHING; RUST; DELAMINATION; DEFORMATION,(iv) Leaching | (v) Rust stains | (vi) Delamination | (vii) Deformation | Numbers
8,43,40,,,RUST; DELAMINATION; DEFORMATION,(v) Rust stains | (vi) Delamination | (vii) Deformation | Numbers | 40
9,3,,,,CRACKS; SETTLEMENT,"Visual observations carried out during the condition survey were mainly made to find | out the above listed distresses. In addition to the superstructures, the masonry | substructure was inspected to locate cracks and loose mortar in joints specially for | pier and abutments. The wing walls and the return walls were inspected to locate any | separation of these from the abutment. Any unusual differential settlement which"
9,5,,,,CRACKS; SETTLEMENT,substructure was inspected to locate cracks and loose mortar in joints specially for | pier and abutments. The wing walls and the return walls were inspected to locate any | separation of these from the abutment. Any unusual differential settlement which | gives rise to cracks in the return or wing walls were looked for. | The details of inventory and condition survey are enclosed in the Final Feasibility
