asset_id,asset_code,asset_name,district,structure_length_m,route_class,lanes_count,built_year,bridge_age_years,bridge_type_context,highway_raw,railway_raw,reported_width_m_context_only,render_width_used_as_model_fact,shared_features_present,transfer_scope
2,AP_BR_00001,Godavari Arch Bridge,East Godavari,2745.0,,1.0,1997,29,RAIL,,,,NO,3,NO_HIGHWAY_CLASS
4,AP_BR_00002,Kanaka Durga Flyover,NTR,2600.0,HIGH_CAPACITY,,2020,6,ROAD,trunk,,23.7744,NO,3,HIGHWAY_TRANSFER_CANDIDATE
206,AP_BR_OSM_W22831597,Guntur - Parchuru Road,,40.71,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
207,AP_BR_OSM_W22838890,Unnamed Road Bridge - OSM 22838890,,151.41,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
208,AP_BR_OSM_W22838960,Dhone Main Road,,1269.16,ARTERIAL,,,,ROAD,secondary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
209,AP_BR_OSM_W30434525,Srinivasa Flyover,,1677.21,ARTERIAL,,,,ROAD,primary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
210,AP_BR_OSM_W32872887,Unnamed Road Bridge - OSM 32872887,,87.48,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
211,AP_BR_OSM_W32873339,Unnamed Road Bridge - OSM 32873339,,31.84,COLLECTOR,,,,ROAD,tertiary,,,NO,2,HIGHWAY_TRANSFER_CANDIDATE
212,AP_BR_OSM_W45022241,Unnamed Road Bridge - OSM 45022241,,621.63,HIGH_CAPACITY,2.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
213,AP_BR_OSM_W45068355,Kanakadurga Varadhi - Vijayawada - Mangalagiri Road -  Old NH16 Road,,1832.09,ARTERIAL,2.0,,,ROAD,primary,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
214,AP_BR_OSM_W45068997,Unnamed Road Bridge - OSM 45068997,,214.62,HIGH_CAPACITY,3.0,,,ROAD,trunk,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
215,AP_BR_OSM_W47414450,Unnamed Rail Bridge - OSM 47414450,,531.19,,,,,RAIL,,rail,,NO,1,RAIL_ONLY_EXCLUDED_FROM_NBI
216,AP_BR_OSM_W51774884,Durga Temple Road,,64.0,ARTERIAL,2.0,,,ROAD,primary,,,NO,3,HIGHWAY_TRANSFER_CANDIDATE
