NIDID,NAME,YEAR_COMPLETED,DAM_HEIGHT,DAM_LENGTH,MAX_STORAGE,MAX_DISCHARGE,PRIMARY_DAM_TYPE,PRIMARY_PURPOSE,CONDITION_ASSESSMENT,CONDITION_ASSESS_DATE,condition_class,year_completed,age_years,dam_height_ft,dam_length_ft,max_storage_acft,max_discharge_cfs,dam_type,purpose,adverse_condition
CA00358,Lake Spaulding No. 2 Dam,1916.0,42.0,309.0,74773.0,87500.0,Concrete,Hydroelectric,Fair,1787659200000.0,FAIR,1916.0,110.0,42.0,309.0,74773.0,87500.0,GRAVITY,HYDROPOWER,0
CA00361,Lake Valley Auxiliary Dam,1889.0,28.0,525.0,7964.0,5200.0,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1889.0,137.0,28.0,525.0,7964.0,5200.0,EARTH,HYDROPOWER,0
CA00365,Lower Peak Lake Auxiliary Dam,1860.0,7.0,410.0,484.0,312.0,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1860.0,166.0,7.0,410.0,484.0,312.0,EARTH,HYDROPOWER,0
CA00372,Upper Rock Lake Auxiliary Dam,1855.0,8.0,90.0,190.0,0.2,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1855.0,171.0,8.0,90.0,190.0,0.2,EARTH,HYDROPOWER,0
CA00378,Caples Lake Auxiliary Dam,1922.0,34.0,587.0,22338.0,1800.0,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1922.0,104.0,34.0,587.0,22338.0,1800.0,EARTH,HYDROPOWER,0
CA00391,Stanislaus Forebay East,1908.0,55.0,400.0,320.0,540.0,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1908.0,118.0,55.0,400.0,320.0,540.0,EARTH,HYDROPOWER,0
CA00411,Wishon Auxiliary No. 1,1958.0,26.0,220.0,133600.0,52000.0,Concrete,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1958.0,68.0,26.0,220.0,133600.0,52000.0,GRAVITY,HYDROPOWER,0
CA00420,Murphys Forebay West Dam,1953.0,67.0,316.0,60.0,840.0,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1953.0,73.0,67.0,316.0,60.0,840.0,EARTH,HYDROPOWER,0
CA00422,Alpine Auxiliary No. 2,,21.0,166.0,4300.0,3400.0,Rockfill,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,,,21.0,166.0,4300.0,3400.0,ROCKFILL,HYDROPOWER,0
CA00426,Union Auxiliary No. 2,,7.0,64.0,3283.0,,Rockfill,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,,,7.0,64.0,3283.0,,ROCKFILL,HYDROPOWER,0
CA00427,Utica Auxiliary No. 2,1903.0,11.0,149.0,2500.0,,Rockfill,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1903.0,123.0,11.0,149.0,2500.0,,ROCKFILL,HYDROPOWER,0
CA00434,Big Creek Dam No. 2,1917.0,120.0,1862.0,89800.0,,Concrete,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1917.0,109.0,120.0,1862.0,89800.0,,GRAVITY,HYDROPOWER,0
CA00437,Shaver Lake Dike,1982.0,8.0,409.0,135283.0,,Concrete,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1982.0,44.0,8.0,409.0,135283.0,,GRAVITY,HYDROPOWER,0
CA00442,Portal Forebay Dike,1956.0,18.0,350.0,390.0,,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1956.0,70.0,18.0,350.0,390.0,,EARTH,HYDROPOWER,0
CA00456,Tioga Lake Auxiliary Dam,1928.0,19.0,50.0,1254.0,690.0,Concrete,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1928.0,98.0,19.0,50.0,1254.0,690.0,GRAVITY,HYDROPOWER,0
CA00814,Ice House Dike No. 1,,57.0,985.0,43496.0,22500.0,Earth,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,,,57.0,985.0,43496.0,22500.0,EARTH,HYDROPOWER,0
CA00820,Loon Lake Auxiliary,1963.0,90.0,910.0,69309.0,15300.0,Rockfill,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1963.0,63.0,90.0,910.0,69309.0,15300.0,ROCKFILL,HYDROPOWER,0
CA00821,Buck Island Auxiliary,1963.0,25.0,244.0,1070.0,13000.0,Concrete,Hydroelectric,Satisfactory,1787659200000.0,SATISFACTORY,1963.0,63.0,25.0,244.0,1070.0,13000.0,GRAVITY,HYDROPOWER,0
