asset_id,asset_code,asset_name,district,structure_length_m,route_class,lanes_count,bridge_age_years,transfer_scope,evidence_completeness_percent,health_score,health_status,rul_years,rul_status,confidence_score,confidence_status,model_variant,risk_score,risk_level,prediction_status,abstention_reason,model_scope,why_predicted_json,recommendations_json,temporal_test_roc_auc,temporal_test_pr_auc,temporal_test_brier,temporal_test_ece
2,AP_BR_00001,Godavari Arch Bridge,East Godavari,2745.0,,1.0,29.0,NO_HIGHWAY_CLASS,75.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
4,AP_BR_00002,Kanaka Durga Flyover,NTR,2600.0,HIGH_CAPACITY,,6.0,HIGHWAY_TRANSFER_CANDIDATE,75.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,AGE,,WITHHELD,ABSTAIN_OUT_OF_DISTRIBUTION,Extreme NBI-domain mismatch: structure_length_m,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Review source engineering values and obtain site-specific inspection evidence.""]",,,,
206,AP_BR_OSM_W22831597,Guntur - Parchuru Road,,40.71,ARTERIAL,,,HIGHWAY_TRANSFER_CANDIDATE,50.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
207,AP_BR_OSM_W22838890,Unnamed Road Bridge - OSM 22838890,,151.41,HIGH_CAPACITY,2.0,,HIGHWAY_TRANSFER_CANDIDATE,75.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
208,AP_BR_OSM_W22838960,Dhone Main Road,,1269.16,ARTERIAL,,,HIGHWAY_TRANSFER_CANDIDATE,50.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
209,AP_BR_OSM_W30434525,Srinivasa Flyover,,1677.21,ARTERIAL,,,HIGHWAY_TRANSFER_CANDIDATE,50.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
210,AP_BR_OSM_W32872887,Unnamed Road Bridge - OSM 32872887,,87.48,COLLECTOR,,,HIGHWAY_TRANSFER_CANDIDATE,50.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
211,AP_BR_OSM_W32873339,Unnamed Road Bridge - OSM 32873339,,31.84,COLLECTOR,,,HIGHWAY_TRANSFER_CANDIDATE,50.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
212,AP_BR_OSM_W45022241,Unnamed Road Bridge - OSM 45022241,,621.63,HIGH_CAPACITY,2.0,,HIGHWAY_TRANSFER_CANDIDATE,75.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
213,AP_BR_OSM_W45068355,Kanakadurga Varadhi - Vijayawada - Mangalagiri Road -  Old NH16 Road,,1832.09,ARTERIAL,2.0,,HIGHWAY_TRANSFER_CANDIDATE,75.0,,WITHHELD,,WITHHELD,,WITHHELD_AP_GROUND_TRUTH_VALIDATION_PENDING,,,WITHHELD,ABSTAIN,NO_VALIDATED_MODEL_FOR_AVAILABLE_FEATURES,FHWA_NBI_RESEARCH_TRANSFER,[],"[""Obtain the missing factual engineering evidence or current structural inspection before assigning a structural Risk Score.""]",,,,
