asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,age_years,engineering_fields_available,engineering_completeness,has_direct_hydrology,authority_level,origin,quality_flag,confidence_score,updated_at
1,AP_DAM_00001,Prakasam Barrage,barrage,2,103,167,,,,,,,,,,,,,,Krishna,,,,,B00143,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
182,AP_BAR_WRIS_B00131,Sir Arthur Cotton Barrage /Godavari Barrage,barrage,2,103,166,,,,,,,,,,,,,,Godavari,,,,,B00131,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
183,AP_BAR_WRIS_B00165,Tarakarama Thirtha Sagaram Barrage,barrage,2,103,168,,,,,,,,,,,,,,Champavathi,,,,,B00165,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
184,AP_BAR_WRIS_B00448,Swarnamukhi Barrage,barrage,2,103,169,,,,,,,,,,,,,,Swarnamukhi,,,,,B00448,,,,1,0.1,True,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
185,AP_BAR_WRIS_B00435,Neradi Barrage,barrage,2,103,170,,,,,,,,,,,,,,Vamsadhara,,,,,B00435,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
186,AP_BAR_WRIS_B00429,Thotapalli Barrage,barrage,2,103,171,,,,,,,,,,,,,,Nagavali,,,,,B00429,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
187,AP_BAR_WRIS_B00434,Gotta Barrage,barrage,2,103,172,,,,,,,,,,,,,,Vamsadhara,,,,,B00434,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
188,AP_BAR_WRIS_B00800,Rallapadu Barrage,barrage,2,103,173,,,,,,,,,,,,,,Manneru River,,,,,B00800,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
189,AP_BAR_WRIS_B01201,Chagallur Barrage,barrage,2,103,174,,,,,,,,,,,,,,Pennar,,,,,B01201,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
190,AP_BAR_WRIS_B01609,Vaikuntapuram Barrage,barrage,2,103,175,,,,,,,,,,,,,,Krishna,,,,,B01609,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
