asset_id,asset_code,asset_name,asset_type,feature_version,static_features,hydrology_features,has_direct_hydrology,generated_at
1,AP_DAM_00001,Prakasam Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": 1957.0, ""gate_count"": null, ""river_name"": ""Krishna"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00143"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
182,AP_BAR_WRIS_B00131,Sir Arthur Cotton Barrage /Godavari Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Godavari"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00131"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
183,AP_BAR_WRIS_B00165,Tarakarama Thirtha Sagaram Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Champavathi"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00165"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
184,AP_BAR_WRIS_B00448,Swarnamukhi Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": 2008.0, ""gate_count"": null, ""river_name"": ""Swarnamukhi"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00448"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}","{""manual_daily_reservoir_water_level_m"": {""max"": 60.868559, ""min"": 0.0, ""std"": 19.43273112843333, ""mean"": 7.438426501491601, ""count"": 6369, ""latest"": 0.0, ""latest_zscore"": -0.3827782339152494, ""freshness_days"": 186.86961427342592}}",True,2026-09-03T04:52:14.819262+00:00
185,AP_BAR_WRIS_B00435,Neradi Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Vamsadhara"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00435"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
186,AP_BAR_WRIS_B00429,Thotapalli Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Nagavali"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00429"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
187,AP_BAR_WRIS_B00434,Gotta Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Vamsadhara"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00434"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
188,AP_BAR_WRIS_B00800,Rallapadu Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": 1958.0, ""gate_count"": null, ""river_name"": ""Manneru River"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B00800"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
189,AP_BAR_WRIS_B01201,Chagallur Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Pennar"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B01201"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
190,AP_BAR_WRIS_B01609,Vaikuntapuram Barrage,barrage,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Krishna"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": ""B01609"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.1, ""design_flood_source_value"": null, ""engineering_fields_available"": 1.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
