asset_id,osm_way_id,structure_key,bridge_type,actual_length_m,reported_width_m,render_width_m,width_basis,latitude,longitude,actual_geometry,geometry_source,lanes_reported,material_reported,verified_pier_count,pier_count_status,rendering_strategy,rendering_estimated,profile_version,updated_at
2,,VERIFIED_ANCHOR::AP_BR_00001,RAIL,2745.0,,,UNKNOWN_DO_NOT_REPORT,17.0043,81.7787,,NO_OSM_ALIGNMENT_MATCH,1,PRESTRESSED_RCC_TWIN_ARCHES_M45,28,VERIFIED_ENGINEERING_EVIDENCE,VERIFIED_ENGINEERING_PROCEDURAL_FALLBACK,True,ap_bridge_twin_v1,2026-09-03T14:20:59.610477+00:00
4,848381231,NAME::kanaka durga flyover::ROAD,ROAD,2600.0,23.7744,23.7744,VERIFIED_ENGINEERING_EVIDENCE,16.51693282580645,80.60214416774194,"{""type"": ""LineString"", ""coordinates"": [[80.6065084, 16.5123594], [80.6063984, 16.5123736], [80.606035, 16.5124057], [80.6057131, 16.5124314], [80.6053497, 16.5124584], [80.6051847, 16.5124713], [80.6050533, 16.5124764], [80.6049179, 16.512488], [80.6047529, 16.5125124], [80.6045088, 16.512551], [80.6042929, 16.5125857], [80.6040797, 16.5126384], [80.6038136, 16.5127441], [80.6034986, 16.5129448], [80.6033206, 16.5131083], [80.6032208, 16.5132104], [80.6031327, 16.5133097], [80.6030276, 16.5134641], [80.6029273, 16.5136736], [80.6028483, 16.5138789], [80.6027949, 16.5140761], [80.6027471, 16.5142751], [80.6027233, 16.5145212], [80.6027229, 16.5146555], [80.6027394, 16.514876], [80.6027658, 16.5150756], [80.6027828, 16.5151932], [80.6027886, 16.515374], [80.6028255, 16.5157665], [80.6029184, 16.5170116], [80.6029378, 16.5176487], [80.6029435, 16.5179894], [80.602942, 16.5181232], [80.6029337, 16.5182563], [80.6029065, 16.5184315], [80.6028342, 16.5187], [80.6027342, 16.5189179], [80.6026184, 16.5191218], [80.6024582, 16.5193315], [80.6023285, 16.519458], [80.6021688, 16.5195931], [80.6020207, 16.5197012], [80.6019009, 16.5197652], [80.6017377, 16.5198292], [80.6014486, 16.5199002], [80.6009309, 16.5200148], [80.6005908, 16.520102], [80.6004261, 16.5201431], [80.6001182, 16.5202122], [80.5994801, 16.5203543], [80.5992555, 16.5204303], [80.5991433, 16.520472], [80.5990269, 16.5205381], [80.5988278, 16.520698], [80.5985681, 16.5209768], [80.5981515, 16.5214662], [80.5980266, 16.5216003], [80.5979406, 16.5216961], [80.5977713, 16.5218758], [80.5973751, 16.5222841], [80.5970526, 16.5225922], [80.5969463, 16.5227013]]}",OPENSTREETMAP,,LRPC_STRANDS_AND_TMT_REINFORCEMENT,45,VERIFIED_ENGINEERING_EVIDENCE,REAL_OSM_ALIGNMENT_WITH_VERIFIED_ENGINEERING,False,ap_bridge_twin_v1,2026-09-03T14:22:26.767927+00:00
206,22831597,NAME::guntur parchuru road::ROAD,ROAD,40.71,,7.0,VISUALIZATION_ESTIMATE,16.1880994,80.34344565,"{""type"": ""LineString"", ""coordinates"": [[80.3433071, 16.1879737], [80.3435842, 16.1882251]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
207,22838890,REF::nh167::ROAD,ROAD,151.41,,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,15.947247650000001,77.3614818,"{""type"": ""LineString"", ""coordinates"": [[77.361291, 15.946592], [77.3616726, 15.9479033]]}",OPENSTREETMAP,2,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
208,22838960,NAME::dhone main road::ROAD,ROAD,1269.16,,7.0,VISUALIZATION_ESTIMATE,15.39543645882353,77.87306792058823,"{""type"": ""LineString"", ""coordinates"": [[77.8693101, 15.3935699], [77.8695971, 15.3934587], [77.8709811, 15.3929157], [77.8712574, 15.3928174], [77.8714907, 15.3927657], [77.8716436, 15.3927451], [77.8718823, 15.3927838], [77.8720299, 15.3928459], [77.8721666, 15.3929338], [77.8723018, 15.3930521], [77.8724134, 15.3932544], [77.872519, 15.3935114], [77.8725985, 15.3937302], [77.8727326, 15.3940767], [77.872805, 15.39425], [77.8728694, 15.3943871], [77.8729578, 15.3945293], [77.8730812, 15.3946845], [77.8732019, 15.3948138], [77.87343, 15.3950853], [77.8736043, 15.3953025], [77.8737599, 15.3956645], [77.8738752, 15.3960499], [77.8740496, 15.3965774], [77.8742185, 15.3971412], [77.8743259, 15.3974722], [77.874468, 15.3979066], [77.8746423, 15.398447], [77.8747737, 15.3988815], [77.8748569, 15.3991969], [77.8749025, 15.3993495], [77.8749883, 15.3996004], [77.875219, 15.4003114], [77.8753558, 15.4007278]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
209,30434525,NAME::srinivasa flyover::ROAD,ROAD,1677.21,,7.0,VISUALIZATION_ESTIMATE,13.61954122,79.43290673714286,"{""type"": ""LineString"", ""coordinates"": [[79.4372524, 13.6134877], [79.4370141, 13.6137801], [79.4365817, 13.6143289], [79.4360866, 13.6149575], [79.4360238, 13.6150372], [79.4356704, 13.6154795], [79.4356116, 13.6155532], [79.4353269, 13.6159065], [79.434775, 13.6165915], [79.4346527, 13.6167432], [79.4343863, 13.6170757], [79.4341198, 13.6174084], [79.4339422, 13.61763], [79.4337946, 13.6178118], [79.4336599, 13.6179797], [79.4334378, 13.6182355], [79.4332882, 13.6184244], [79.4329422, 13.6188612], [79.4325859, 13.6192907], [79.4325512, 13.6193338], [79.4323449, 13.6195906], [79.4304235, 13.6220171], [79.4303036, 13.6221849], [79.4302629, 13.6222729], [79.4302332, 13.6224057], [79.4302213, 13.6224843], [79.430207, 13.6229398], [79.4302233, 13.6232375], [79.4302437, 13.6234705], [79.4302673, 13.6236256], [79.4303078, 13.6238204], [79.4304739, 13.6244252], [79.4307713, 13.6255469], [79.4308489, 13.6258392], [79.4308999, 13.6261656]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
210,32872887,OSM_WAY::32872887,ROAD,87.48,,7.0,VISUALIZATION_ESTIMATE,13.529813149999999,79.9092736,"{""type"": ""LineString"", ""coordinates"": [[79.9095964, 13.529576], [79.9089508, 13.5300503]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
211,32873339,OSM_WAY::32873339,ROAD,31.84,,7.0,VISUALIZATION_ESTIMATE,13.5335735,79.89325625000001,"{""type"": ""LineString"", ""coordinates"": [[79.8934035, 13.5335763], [79.893109, 13.5335707]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
212,45022241,REF::nh16::ROAD,ROAD,621.63,,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,18.374406399999998,83.9895535,"{""type"": ""LineString"", ""coordinates"": [[83.9922514, 18.375528], [83.9868556, 18.3732848]]}",OPENSTREETMAP,2,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
213,45068355,NAME::kanakadurga varadhi vijayawada mangalagiri road old nh16 road::ROAD,ROAD,1832.09,,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,16.493533,80.6270894125,"{""type"": ""LineString"", ""coordinates"": [[80.6312086, 16.4988538], [80.6305275, 16.4979861], [80.6296387, 16.4968205], [80.6285975, 16.4954718], [80.627273, 16.4937861], [80.6248101, 16.4906074], [80.6236825, 16.4891217], [80.6209774, 16.4856166]]}",OPENSTREETMAP,2,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
