id,asset_id,asset_code,asset_name,asset_type,dataset,source_name,source_code,parameter,latitude,longitude,source_row_count,match_score,name_score,coordinate_score,distance_km,match_method,match_status,provenance,created_at
2,34,AP_DAM_WRIS_AP01MH0021,Arniar Dam,dam,ap_reservoir_level_1970_2025.csv,ARNIOR,79.7375,,28.0,13.395,6403,0.8333,0.8333,0.0,,FUZZY_NAME,MATCHED_REVIEW,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
3,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,dam,ap_reservoir_level_1970_2025.csv,BAHUDA,78.62777778,,28.0,13.56388889,6309,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
4,36,AP_DAM_WRIS_AP01MH0018,Bhairavanithippa Dam,dam,ap_reservoir_level_1970_2025.csv,BHAIRAVANITIPPA PROJECT,76.88305556,,28.0,14.53305556,6870,0.9677,0.9677,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
6,54,AP_DAM_WRIS_AP01MH0015,Kalangi Dam,dam,ap_reservoir_level_1970_2025.csv,KALANGI,79.7925,,28.0,13.60805556,6621,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
7,8,AP_DAM_NWDP_AP01HH0040,Kalyani Dam,dam,ap_reservoir_level_1970_2025.csv,KALYANI DAM,79.27,,28.0,13.64833333,6733,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
9,11,AP_DAM_NWDP_AP01MH0135,Mallemadugu,dam,ap_reservoir_level_1970_2025.csv,MALLI MADUGU.,79.52166667,,28.0,13.67666667,6746,0.9565,0.9565,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
11,9,AP_DAM_NWDP_AP01HH0049,Pedderu,dam,ap_reservoir_level_1970_2025.csv,PEDDERU,78.37583333,,28.0,13.89027778,8580,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
18,7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,dam,ap_reservoir_level_1970_2025.csv,UPPER PENNAR PROJECT,77.355,,28.0,14.33694444,6838,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
20,73,AP_DAM_WRIS_AP01MH0074,Yogivemana Dam,dam,ap_reservoir_level_1970_2025.csv,YOGIVEMANA RESERVOIR PROJECT,78.05111111,,28.0,14.35777778,2190,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
21,74,AP_DAM_WRIS_AP01MH0022,Zurreru Dam,dam,ap_reservoir_level_1970_2025.csv,Zurreru Reservoir,78.12583333,,28.0,15.3275,4412,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
23,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,dam,ap_reservoir_level_2026_2030.csv,BAHUDA,78.62777778,,28.0,13.56388889,82,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
24,36,AP_DAM_WRIS_AP01MH0018,Bhairavanithippa Dam,dam,ap_reservoir_level_2026_2030.csv,BHAIRAVANITIPPA PROJECT,76.88305556,,28.0,14.53305556,23,0.9677,0.9677,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
25,8,AP_DAM_NWDP_AP01HH0040,Kalyani Dam,dam,ap_reservoir_level_2026_2030.csv,KALYANI DAM,79.27,,28.0,13.64833333,44,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
26,11,AP_DAM_NWDP_AP01MH0135,Mallemadugu,dam,ap_reservoir_level_2026_2030.csv,MALLI MADUGU.,79.52166667,,28.0,13.67666667,55,0.9565,0.9565,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
