asset_id,asset_code,asset_name,asset_type,feature_version,static_features,hydrology_features,has_direct_hydrology,generated_at
3,AP_DAM_00002,Polavaram Project,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Godavari"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": null, ""structure_code"": ""D06328"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": ""Under Construction"", ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.2, ""design_flood_source_value"": null, ""engineering_fields_available"": 2.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
5,AP_DAM_NWDP_AP01VH0059,Srisailam Project (N.S.R.S.P),dam,ap_dam_barrage_state_v1,"{""origin"": null, ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": 1984.0, ""gate_count"": null, ""river_name"": null, ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": null, ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": null, ""authority_level"": null, ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": null, ""design_flood_source_value"": null, ""engineering_fields_available"": null, ""engineering_source_confidence"": null, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0011"", ""dam_type"": ""TE"", ""age_years"": 67.0, ""gate_type"": ""LG"", ""built_year"": 1958.0, ""gate_count"": 8.0, ""river_name"": ""Pennar"", ""dam_height_m"": 16.74, ""dam_length_m"": 3505.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": ""OG"", ""structure_code"": ""D02365"", ""authority_level"": ""B2"", ""completion_year"": 1959.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 526.39, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": 594.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 3398.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 3398.0}","{""manual_daily_reservoir_storage_mcm"": {""max"": 50.68, ""min"": 0.0, ""std"": 10.771314756237837, ""mean"": 5.438056770985669, ""count"": 6838, ""latest"": 0.14, ""latest_zscore"": -0.4918672317060906, ""freshness_days"": 214.8696142734259}, ""manual_daily_reservoir_water_level_m"": {""max"": 538.8864, ""min"": 0.0, ""std"": 204.58808125189324, ""mean"": 430.8349394434045, ""count"": 6838, ""latest"": 526.3896, ""latest_zscore"": 0.46705878451905775, ""freshness_days"": 551.8696142734259}}",True,2026-09-03T04:52:14.819262+00:00
8,AP_DAM_NWDP_AP01HH0040,Kalyani Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01HH0040"", ""dam_type"": ""TE + PG"", ""age_years"": 49.0, ""gate_type"": ""RD"", ""built_year"": 1977.0, ""gate_count"": 3.0, ""river_name"": ""Kalyani"", ""dam_height_m"": 36.0, ""dam_length_m"": 500.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": null, ""structure_code"": ""D03636"", ""authority_level"": ""B2"", ""completion_year"": 1977.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 266.70080437, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 1342.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 1614.0}","{""manual_daily_reservoir_storage_mcm"": {""max"": 118.216, ""min"": 0.1141, ""std"": 7.4835108039429326, ""mean"": 9.475015793357935, ""count"": 6775, ""latest"": 16.072, ""latest_zscore"": 0.8815360035514651, ""freshness_days"": 201.8696142734259}, ""manual_daily_reservoir_water_level_m"": {""max"": 274.137127, ""min"": 253.243073, ""std"": 6.459129099424242, ""mean"": 263.9463386402538, ""count"": 6777, ""latest"": 269.961364, ""latest_zscore"": 0.9312440217803274, ""freshness_days"": 201.8696142734259}}",True,2026-09-03T04:52:14.819262+00:00
9,AP_DAM_NWDP_AP01HH0049,Pedderu,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01HH0049"", ""dam_type"": ""TE"", ""age_years"": 46.0, ""gate_type"": ""UG"", ""built_year"": 1980.0, ""gate_count"": 42.0, ""river_name"": ""Pedderu"", ""dam_height_m"": 35.0, ""dam_length_m"": 590.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D02213"", ""authority_level"": ""B2"", ""completion_year"": 1980.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 481.5, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": 122.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 3172.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 3172.0}","{""manual_daily_reservoir_storage_mcm"": {""max"": 15.7612, ""min"": 0.8649, ""std"": 5.362906294693757, ""mean"": 6.357770911743252, ""count"": 6855, ""latest"": 13.0631, ""latest_zscore"": 1.2503162874375096, ""freshness_days"": 126.86961427342592}, ""manual_daily_reservoir_water_level_m"": {""max"": 482.299988, ""min"": 143.734538, ""std"": 131.88416574175892, ""mean"": 406.3492032116873, ""count"": 8659, ""latest"": 479.75, ""latest_zscore"": 0.5565550373350964, ""freshness_days"": 126.86961427342592}}",True,2026-09-03T04:52:14.819262+00:00
10,AP_DAM_NWDP_AP01MH0074,Yogi Vemana (Maddileru) Reservoir,dam,ap_dam_barrage_state_v1,"{""origin"": null, ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": 2001.0, ""gate_count"": null, ""river_name"": null, ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": null, ""seismic_zone"": null, ""spillway_type"": null, ""structure_code"": null, ""authority_level"": null, ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": null, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": null, ""design_flood_source_value"": null, ""engineering_fields_available"": null, ""engineering_source_confidence"": null, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
11,AP_DAM_NWDP_AP01MH0135,Mallemadugu,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0135"", ""dam_type"": ""TE"", ""age_years"": 67.0, ""gate_type"": null, ""built_year"": 1990.0, ""gate_count"": 15.0, ""river_name"": ""Konakalva and Rallakalva"", ""dam_height_m"": 15.0, ""dam_length_m"": 1334.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": null, ""structure_code"": ""D02157"", ""authority_level"": ""B2"", ""completion_year"": 1959.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 108.81, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 2458.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 2458.0}","{""manual_daily_reservoir_storage_mcm"": {""max"": 6.384, ""min"": 0.0, ""std"": 1.5681052446539028, ""mean"": 1.1938200942146326, ""count"": 6793, ""latest"": 1.12, ""latest_zscore"": -0.047075981963777824, ""freshness_days"": 186.86961427342592}, ""manual_daily_reservoir_water_level_m"": {""max"": 112.684564, ""min"": 0.0, ""std"": 38.189715347744794, ""mean"": 92.07584235732156, ""count"": 6795, ""latest"": 108.5088, ""latest_zscore"": 0.4302979871162837, ""freshness_days"": 186.86961427342592}}",True,2026-09-03T04:52:14.819262+00:00
22,AP_DAM_WRIS_D00569,Chitravathi Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": ""TE"", ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Chitravathi"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D00569"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": 289.35, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.5, ""design_flood_source_value"": 28.32, ""engineering_fields_available"": 5.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
23,AP_DAM_WRIS_D00587,Gundlakamma Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": null, ""dam_type"": null, ""age_years"": null, ""gate_type"": null, ""built_year"": null, ""gate_count"": null, ""river_name"": ""Gundlakamma"", ""dam_height_m"": null, ""dam_length_m"": null, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-III"", ""spillway_type"": null, ""structure_code"": ""D00587"", ""authority_level"": ""B2"", ""completion_year"": null, ""registry_status"": null, ""spillway_level_m"": 16.38, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": null, ""engineering_completeness"": 0.3, ""design_flood_source_value"": null, ""engineering_fields_available"": 3.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": null}",{},False,2026-09-03T04:52:14.819262+00:00
24,AP_DAM_WRIS_AP01MH0058,Mylavaram Dam,dam,ap_dam_barrage_state_v1,"{""origin"": ""GOVERNMENT_DERIVED_MIRROR"", ""nrld_no"": ""AP01MH0058"", ""dam_type"": ""TE + PG"", ""age_years"": 43.0, ""gate_type"": ""RD"", ""built_year"": 1983.0, ""gate_count"": 13.0, ""river_name"": ""Pennar"", ""dam_height_m"": 24.0, ""dam_length_m"": 2850.0, ""quality_flag"": ""SOURCE_PRESERVED"", ""seismic_zone"": ""Seismic Zone-II"", ""spillway_type"": null, ""structure_code"": ""D00686"", ""authority_level"": ""B2"", ""completion_year"": 1983.0, ""registry_status"": ""Completed"", ""spillway_level_m"": 194.0, ""commencement_year"": null, ""spillway_length_m"": null, ""dam_volume_source_value"": 1524.0, ""engineering_completeness"": 1.0, ""design_flood_source_value"": 8180.0, ""engineering_fields_available"": 10.0, ""engineering_source_confidence"": 0.8, ""spillway_capacity_source_value"": 8190.0}",{},False,2026-09-03T04:52:14.819262+00:00
