id,asset_id,document_id,source_id,evidence_type,field_name,numeric_value,text_value,unit,rating_system,observed_at,valid_from,valid_to,authority_level,origin,quality_flag,confidence_score,is_official,is_derived,is_synthetic,processing_method,extraction_metadata,created_at,updated_at
118,3,1,103,ASSET_REGISTRY,wris_registry_record,,Polavaram Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [81.67168766, 17.28745269]}, ""properties"": {""class"": ""CLASS 3"", ""state"": ""AP"", ""bacode"": ""03"", ""dtcode"": ""East Godavari"", ""dam_vol"": null, ""dm_name"": ""Polavaram Dam"", ""dm_type"": null, ""nrld_no"": null, ""rivcode"": ""Godavari"", ""dm_ncity"": null, ""objectid"": 4587, ""strucode"": ""D06328"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": null, ""dm_coment"": null, ""dm_height"": null, ""dm_length"": null, ""dm_status"": ""Under Construction"", ""dm_gate_no"": null, ""dm_gate_sz"": null, ""dm_flod_des"": null, ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-III"", ""dm_spil_cap"": null, ""dm_spil_lev"": null, ""dm_gate_type"": null, ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Araku"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": ""WRD, Govt of AP"", ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
176,5,3,100,DAM_SAFETY_GOVERNANCE,emergency_action_plan_status,,PREPARED_AND_SUBMITTED_TO_CWC,,,,,,A1,OBSERVED,OFFICIAL_DOCUMENT,0.95,True,False,False,CWC_DRIP_TC3_EXPLICIT_STATEMENT,{},2026-08-29T16:05:33.687671+00:00,2026-08-29T16:05:33.687671+00:00
48,7,1,103,ASSET_REGISTRY,wris_registry_record,,Upper Pennar Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [77.35415767, 14.33671722]}, ""properties"": {""class"": ""Class 1"", ""state"": ""AP"", ""bacode"": ""09"", ""dtcode"": ""Anantapur"", ""dam_vol"": ""594"", ""dm_name"": ""Upper Pennar Dam"", ""dm_type"": ""TE"", ""nrld_no"": ""AP01MH0011"", ""rivcode"": ""Pennar"", ""dm_ncity"": ""Dharmavaram"", ""objectid"": 1717, ""strucode"": ""D02365"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": ""1959"", ""dm_coment"": null, ""dm_height"": ""16.74"", ""dm_length"": ""3505"", ""dm_status"": ""Completed"", ""dm_gate_no"": 8, ""dm_gate_sz"": ""12.19 x 4.88"", ""dm_flod_des"": ""3398"", ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-II"", ""dm_spil_cap"": 3398.0, ""dm_spil_lev"": 526.39, ""dm_gate_type"": ""LG"", ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": ""OG"", ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Hindupur"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": ""Irrg.& CAD Dept."", ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
76,8,1,103,ASSET_REGISTRY,wris_registry_record,,Kalyani Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [79.26928378, 13.65754768]}, ""properties"": {""class"": ""CLASS 3"", ""state"": ""AP"", ""bacode"": ""17"", ""dtcode"": ""Chittoor"", ""dam_vol"": null, ""dm_name"": ""Kalyani Dam"", ""dm_type"": ""TE + PG"", ""nrld_no"": ""AP01HH0040"", ""rivcode"": ""Kalyani"", ""dm_ncity"": ""Chandragiri"", ""objectid"": 2740, ""strucode"": ""D03636"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": ""1977"", ""dm_coment"": null, ""dm_height"": ""36"", ""dm_length"": ""500"", ""dm_status"": ""Completed"", ""dm_gate_no"": 3, ""dm_gate_sz"": ""12.192 x 7.62"", ""dm_flod_des"": ""1342"", ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-III"", ""dm_spil_cap"": 1614.0, ""dm_spil_lev"": 266.70080437, ""dm_gate_type"": ""RD"", ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Tirupati"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": ""TTD"", ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
27,9,1,103,ASSET_REGISTRY,wris_registry_record,,Pedderu Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [78.37051646, 13.88436385]}, ""properties"": {""class"": ""Class 2"", ""state"": ""AP"", ""bacode"": ""09"", ""dtcode"": ""Chittoor"", ""dam_vol"": ""122"", ""dm_name"": ""Pedderu Dam"", ""dm_type"": ""TE"", ""nrld_no"": ""AP01HH0049"", ""rivcode"": ""Pedderu"", ""dm_ncity"": ""Madanapalle"", ""objectid"": 1453, ""strucode"": ""D02213"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": ""1980"", ""dm_coment"": null, ""dm_height"": ""35"", ""dm_length"": ""590"", ""dm_status"": ""Completed"", ""dm_gate_no"": 42, ""dm_gate_sz"": null, ""dm_flod_des"": ""3172"", ""dm_gt_ungtd"": ""UG"", ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-II"", ""dm_spil_cap"": 3172.0, ""dm_spil_lev"": 481.5, ""dm_gate_type"": ""UG"", ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Rajampet"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": ""Irrg.& CAD Dept."", ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
21,11,1,103,ASSET_REGISTRY,wris_registry_record,,Mallimadugu Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [79.52777867, 13.68081728]}, ""properties"": {""class"": ""CLASS 3"", ""state"": ""AP"", ""bacode"": ""17"", ""dtcode"": ""Chittoor"", ""dam_vol"": null, ""dm_name"": ""Mallimadugu Dam"", ""dm_type"": ""TE"", ""nrld_no"": ""AP01MH0135"", ""rivcode"": ""Konakalva and Rallakalva"", ""dm_ncity"": ""Chandragiri"", ""objectid"": 1397, ""strucode"": ""D02157"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": ""1959"", ""dm_coment"": null, ""dm_height"": ""15"", ""dm_length"": ""1334"", ""dm_status"": ""Completed"", ""dm_gate_no"": 15, ""dm_gate_sz"": null, ""dm_flod_des"": ""2458"", ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-III"", ""dm_spil_cap"": 2458.0, ""dm_spil_lev"": 108.81, ""dm_gate_type"": null, ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Tirupati"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": ""Irrg.& CAD Dept."", ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
1,22,1,103,ASSET_REGISTRY,wris_registry_record,,Chitravathi Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [77.95875023, 14.56189482]}, ""properties"": {""class"": ""CLASS 3"", ""state"": ""AP"", ""bacode"": ""09"", ""dtcode"": ""Y.S.R."", ""dam_vol"": null, ""dm_name"": ""Chitravathi Dam"", ""dm_type"": ""TE"", ""nrld_no"": null, ""rivcode"": ""Chitravathi"", ""dm_ncity"": ""Pulivendla"", ""objectid"": 219, ""strucode"": ""D00569"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": null, ""dm_coment"": null, ""dm_height"": null, ""dm_length"": null, ""dm_status"": null, ""dm_gate_no"": null, ""dm_gate_sz"": null, ""dm_flod_des"": ""28.32"", ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-II"", ""dm_spil_cap"": null, ""dm_spil_lev"": 289.35, ""dm_gate_type"": null, ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Kadapa"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": null, ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
2,23,1,103,ASSET_REGISTRY,wris_registry_record,,Gundlakamma Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [79.98661493, 15.66088434]}, ""properties"": {""class"": ""CLASS 3"", ""state"": ""AP"", ""bacode"": ""16"", ""dtcode"": ""Prakasam"", ""dam_vol"": null, ""dm_name"": ""Gundlakamma Dam"", ""dm_type"": null, ""nrld_no"": null, ""rivcode"": ""Gundlakamma"", ""dm_ncity"": ""Addanki"", ""objectid"": 220, ""strucode"": ""D00587"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": null, ""dm_coment"": null, ""dm_height"": null, ""dm_length"": null, ""dm_status"": null, ""dm_gate_no"": null, ""dm_gate_sz"": null, ""dm_flod_des"": null, ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-III"", ""dm_spil_cap"": null, ""dm_spil_lev"": 16.38, ""dm_gate_type"": null, ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Bapatla"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": null, ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
3,24,1,103,ASSET_REGISTRY,wris_registry_record,,Mylavaram Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [78.34061776, 14.84951961]}, ""properties"": {""class"": ""Class 2"", ""state"": ""AP"", ""bacode"": ""09"", ""dtcode"": ""Y.S.R."", ""dam_vol"": ""1524"", ""dm_name"": ""Mylavaram Dam"", ""dm_type"": ""TE + PG"", ""nrld_no"": ""AP01MH0058"", ""rivcode"": ""Pennar"", ""dm_ncity"": ""Jammalamadugu"", ""objectid"": 614, ""strucode"": ""D00686"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": ""1983"", ""dm_coment"": null, ""dm_height"": ""24"", ""dm_length"": ""2850"", ""dm_status"": ""Completed"", ""dm_gate_no"": 13, ""dm_gate_sz"": ""13.00 x12.20 x8.65"", ""dm_flod_des"": ""8180"", ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-II"", ""dm_spil_cap"": 8190.0, ""dm_spil_lev"": 194.0, ""dm_gate_type"": ""RD"", ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Kadapa"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": ""Irrg.& CAD Dept."", ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
4,25,1,103,ASSET_REGISTRY,wris_registry_record,,Kanigiri Dam,,,,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,AP state filter + external ID + spatial/name resolution,"{""geometry"": {""type"": ""Point"", ""coordinates"": [79.853524, 14.54733101]}, ""properties"": {""class"": ""Class 2"", ""state"": ""AP"", ""bacode"": ""09"", ""dtcode"": ""Sri Potti Sriramulu Nellore"", ""dam_vol"": null, ""dm_name"": ""Kanigiri Dam"", ""dm_type"": ""TE"", ""nrld_no"": null, ""rivcode"": ""Pennar"", ""dm_ncity"": ""Kovvur"", ""objectid"": 617, ""strucode"": ""D00719"", ""dm_cmn_yr"": null, ""dm_cmp_yr"": null, ""dm_coment"": ""GCS is in Mcft"", ""dm_height"": ""10.278"", ""dm_length"": ""10000"", ""dm_status"": ""Completed"", ""dm_gate_no"": null, ""dm_gate_sz"": null, ""dm_flod_des"": null, ""dm_gt_ungtd"": null, ""dm_mod_oper"": null, ""dm_ses_zone"": ""Seismic Zone-III"", ""dm_spil_cap"": null, ""dm_spil_lev"": null, ""dm_gate_type"": null, ""dm_sluice_sz"": null, ""dm_spil_leng"": null, ""dm_spil_type"": null, ""dm_cn_gate_no"": null, ""dm_ener_dissp"": null, ""dm_inst_inter"": null, ""dm_perliament"": ""Nellore"", ""dm_ph_gate_no"": null, ""dm_instru_embed"": null, ""dm_oper_main_age"": null, ""dm_sluice_purpose"": null, ""dm_inst_inter_ager"": null, ""dm_no_river_sluice"": null}}",2026-08-29T14:45:46.967391+00:00,2026-08-29T14:45:46.967391+00:00
