asset_type,field,source_table,source_column,role
bridge,asset__id,assets,id,IDENTIFIER
bridge,asset__asset_code,assets,asset_code,IDENTIFIER
bridge,asset__name,assets,name,FEATURE
bridge,asset__asset_type,assets,asset_type,FEATURE
bridge,asset__subtype,assets,subtype,FEATURE
bridge,asset__district,assets,district,FEATURE
bridge,asset__owner,assets,owner,FEATURE
bridge,asset__status,assets,status,FEATURE
bridge,asset__identity_status,assets,identity_status,FEATURE
bridge,asset__built_year,assets,built_year,FEATURE
bridge,asset__design_life_years,assets,design_life_years,FEATURE
bridge,asset__material,assets,material,FEATURE
bridge,asset__condition,assets,condition,CONTEXT_ONLY_DO_NOT_USE_AS_TARGET
bridge,asset__representative_geometry,assets,representative_geometry,GEOMETRY_EXCLUDED
bridge,asset__source_id,assets,source_id,FEATURE
bridge,asset__confidence_score,assets,confidence_score,FEATURE
bridge,asset__is_estimated,assets,is_estimated,FEATURE
bridge,asset__created_at,assets,created_at,FEATURE
bridge,asset__updated_at,assets,updated_at,FEATURE
bridge,bridge_engineering_features_verified__asset_code,bridge_engineering_features_verified,asset_code,IDENTIFIER
bridge,bridge_engineering_features_verified__asset_name,bridge_engineering_features_verified,asset_name,FEATURE
bridge,bridge_engineering_features_verified__district,bridge_engineering_features_verified,district,FEATURE
bridge,bridge_engineering_features_verified__structure_mode,bridge_engineering_features_verified,structure_mode,FEATURE
bridge,bridge_engineering_features_verified__length_m,bridge_engineering_features_verified,length_m,FEATURE
bridge,bridge_engineering_features_verified__width_m,bridge_engineering_features_verified,width_m,FEATURE
bridge,bridge_engineering_features_verified__pier_count,bridge_engineering_features_verified,pier_count,FEATURE
bridge,bridge_engineering_features_verified__abutment_count,bridge_engineering_features_verified,abutment_count,FEATURE
bridge,bridge_engineering_features_verified__span_count,bridge_engineering_features_verified,span_count,FEATURE
bridge,bridge_engineering_features_verified__max_reported_span_m,bridge_engineering_features_verified,max_reported_span_m,FEATURE
bridge,bridge_engineering_features_verified__lane_or_track_count,bridge_engineering_features_verified,lane_or_track_count,FEATURE
bridge,bridge_engineering_features_verified__material_summary,bridge_engineering_features_verified,material_summary,FEATURE
bridge,bridge_engineering_features_verified__completion_year_evidence,bridge_engineering_features_verified,completion_year_evidence,FEATURE
bridge,bridge_engineering_features_verified__full_operation_year,bridge_engineering_features_verified,full_operation_year,FEATURE
bridge,bridge_engineering_features_verified__current_maintenance_procurement,bridge_engineering_features_verified,current_maintenance_procurement,FEATURE
bridge,bridge_engineering_features_verified__government_evidence_rows,bridge_engineering_features_verified,government_evidence_rows,FEATURE
bridge,bridge_engineering_features_verified__technical_reference_rows,bridge_engineering_features_verified,technical_reference_rows,FEATURE
bridge,bridge_engineering_features_verified__current_structural_condition_labels,bridge_engineering_features_verified,current_structural_condition_labels,LEAKAGE_EXCLUDED
bridge,bridge_engineering_features_verified__health_ml_readiness,bridge_engineering_features_verified,health_ml_readiness,LEAKAGE_EXCLUDED
bridge,bridge_engineering_features_verified__risk_ml_readiness,bridge_engineering_features_verified,risk_ml_readiness,LEAKAGE_EXCLUDED
