SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,01-01-2026 08:00,0.98
2,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,02-01-2026 08:00,1.058
3,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,03-01-2026 08:00,6.39
4,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,04-01-2026 08:00,1.058
5,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,05-01-2026 08:00,1.058
6,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,06-01-2026 08:00,0.98
7,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,07-01-2026 08:00,10.202
8,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,08-01-2026 08:00,1.569
9,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,09-01-2026 08:00,10.202
10,NARASINGARAYANIPETA,Andhra Pradesh SW,28,Andhra Pradesh,503,CHITTOOR,CHITTOOR,-,-,Savitri,West flowing rivers from Tapi to Tadri,-,-,-,Savitri,13.18000000,79.21111111,10-01-2026 08:00,2.156
