pic,name,operator,latitude_text,longitude_text,latitude,longitude,completion_year,river_basin,river,nearest_city,seismic_zone,dam_type,height_m,length_m,dam_volume_m3,gross_storage_mcm,reservoir_area_m2,effective_storage_mcm,purpose,spillway_capacity_cumecs,source_authority,source_document,source_url,evidence_class
AP01HH0019,Buggavagu,Andhra Pradesh Water Resources Department,"16° 28 ' 48""","79° 31 ' 41""",16.479999999999997,79.52805555555555,1961,Krishna,Buggavagu,Guruzala,II,Earthfill_Embankment,31.0,2576.0,1983000.0,98.06,12427000.0,49.98,I,567.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0020,Jalaput dam (S.H.E.S),Andhra Pradesh Water Resources Department,"18° 27 ' 9""","82° 32 ' 51""",18.4525,82.5475,1955,Godavari,Machkund,Visakhapatnam,II,Other,60.65,419.0,313000.0,970.4,97120000.0,892.46,I/H,5660.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0023,Guntavada Weir (S.H.E.S),Andhra Pradesh Water Resources Department,"18° 3 ' 33""","82° 2 ' 19""",18.059166666666666,82.03861111111111,1967,Godavari,Sileru,Chintpalle,II,Other,31.0,625.0,,122.74,,88.22,I,10933.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0024,Thatipudi,Andhra Pradesh Water Resources Department,"18° 10 ' 19""","83° 11 ' 40""",18.171944444444446,83.19444444444444,1968,East Flowing Rivers between Mahanadi and Godavari,Gosthani,Srungavarapukota,II,Earthfill_Embankment,37.0,585.0,,94.164,,89.91,I,1513.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0025,Mid Pennar Stage-I,Andhra Pradesh Water Resources Department,"14° 52 ' 15""","77° 24 ' 30""",14.870833333333334,77.40833333333335,1968,Pennar,Pennar,Anantapur,II,Other,43.0,1175.0,398000.0,146.398,17108000.0,136.906,I,4543.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0040,Kalyani dam,Andhra Pradesh Water Resources Department,"13° 39 ' 29""","79° 16 ' 7""",13.658055555555556,79.26861111111111,1977,East flowing rivers between Pennar and Cauvery Basin,Kalyani,Chandragiri,III,Other,36.0,500.0,,25.77,22550000.0,24.83,I/S,1614.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0043,Thandava,Andhra Pradesh Water Resources Department,"17° 37 ' 20""","82° 27 ' 38""",17.622222222222224,82.46055555555556,1975,Godavari,Thandava,Narsipatnam,II,Earthfill_Embankment,32.7,201.0,199000.0,140.45,18650000.0,124.69,I,1218.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0049,Pedderu,Andhra Pradesh Water Resources Department,"13° 53 ' 1""","78° 22 ' 13""",13.88361111111111,78.37027777777777,1980,Pennar,Pedderu,Madanapalle,II,Other,35.0,590.0,122000.0,15.857,1999000.0,14.974,I,3172.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0057,Donkarai (S.H.E.S),Andhra Pradesh Water Resources Department,"17° 56 ' 3""","81° 47 ' 46""",17.934166666666666,81.7961111111111,1983,Godavari,Sileru,Donkarayi,II,Other,71.0,1398.0,2038000.0,470.0,28060000.0,380.0,I/H,15593.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0060,Papavinasanam dam,Andhra Pradesh Water Resources Department,"13° 43 ' 10""","79° 20 ' 37""",13.719444444444445,79.3436111111111,1985,East flowing rivers between Pennar and Cauvery Basin,Papavinasanam,Tirupati,II,Other,50.0,274000.0,195000.0,2.124,760000.0,,S,201.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
