station,level_days,storage_days,common_days,readiness
ADINIMMAYA PALLI,80,0,0,INSUFFICIENT_TEMPORAL_HISTORY
BAHUDA,82,81,81,SHORT_SERIES_CANDIDATE
BHAIRAVANITIPPA PROJECT,23,23,23,INSUFFICIENT_TEMPORAL_HISTORY
KALYANI DAM,44,45,44,SHORT_SERIES_CANDIDATE
MALLI MADUGU.,55,59,55,SHORT_SERIES_CANDIDATE
PEDDERU,79,81,79,SHORT_SERIES_CANDIDATE
PENNAR KUMUDVATHY,46,32,32,SHORT_SERIES_CANDIDATE
SRI SAILAM PROJECT,181,181,181,STRONG_TEMPORAL_CANDIDATE
SWARNAMUKHI.,58,0,0,INSUFFICIENT_TEMPORAL_HISTORY
UPPER PENNAR PROJECT,0,31,0,INSUFFICIENT_TEMPORAL_HISTORY
YOGIVEMANA RESERVOIR PROJECT,151,151,151,TEMPORAL_CANDIDATE
