icao_code,runway_designator,true_bearing_raw,runway_length_m,runway_width_m,pavement_strength_raw,pavement_strength_code,surface,threshold_coordinates_raw,source_version,source_url,source_sha256
VOBZ,08,77.75 DEG,3360.0,45.0,90/F/B/W/T Asphalt,90/F/B/W/T,Asphalt,THR: 163146.32N 0804729.94E RWY END: 163208.28N 0804914.80E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOBZ-en-GB.html,6BEA09D547CBDDE0CEFC773A395BDBA8EB7E3076A661E5EB0EF03EBA73AD3C61
VOBZ,26,257.75 DEG,3360.0,45.0,90/F/B/W/T Asphalt,90/F/B/W/T,Asphalt,THR: 163208.28N 0804914.80E RWY END: 163145.09N 0804724.08E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOBZ-en-GB.html,6BEA09D547CBDDE0CEFC773A395BDBA8EB7E3076A661E5EB0EF03EBA73AD3C61
VOCP,11,108.31 DEG,2515.0,45.0,58/F/C/W/T Asphalt,58/F/C/W/T,Asphalt,THR: 143058.11N 0784535.77E RWY END: 143032.39N 0784655.47E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOCP-en-GB.html,621209A2AF2BFECEF84244D882360C0256D0F16C944BB25ED25CA9669CB1D92A
VOCP,29,288.31 DEG,2515.0,45.0,58/F/C/W/T Asphalt,58/F/C/W/T,Asphalt,THR: 143032.39N 0784655.47E RWY END: 143058.11N 0784535.77E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOCP-en-GB.html,621209A2AF2BFECEF84244D882360C0256D0F16C944BB25ED25CA9669CB1D92A
VOKU,10,98.84 DEG,2000.0,30.0,21/F/C/W/T Asphalt,21/F/C/W/T,Asphalt,THR: 154303.41N 0780937.77E RWY END: 154254.16N 0781039.12E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOKU-en-GB.html,382DC49DCC7AB054AC7F8772FDE8FA8E1B0C92B30E567BC629BA083B8F66A5BF
VOKU,28,278.84 DEG,2000.0,30.0,21/F/C/W/T Asphalt,21/F/C/W/T,Asphalt,THR: 154254.16N 0781039.12E RWY END: 154304.16N 0780932.79E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOKU-en-GB.html,382DC49DCC7AB054AC7F8772FDE8FA8E1B0C92B30E567BC629BA083B8F66A5BF
VORY,05,53.25 DEG,3165.0,45.0,61/F/C/W/T Asphalt,61/F/C/W/T,Asphalt,THR: 170550.31N 0814804.59E RWY END: 170651.90N 0814930.38E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VORY-en-GB.html,DEA1F59D13354C8BE981A0C803F6BF75C8CC0F38284B7F3B243AEE6386F63B0C
VORY,23,233.25 DEG,3165.0,45.0,61/F/C/W/T Asphalt,61/F/C/W/T,Asphalt,THR: 170651.90N 0814930.38E RWY END: 170550.31N 0814804.59E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VORY-en-GB.html,DEA1F59D13354C8BE981A0C803F6BF75C8CC0F38284B7F3B243AEE6386F63B0C
VOTP,08,81.50 DEG,3810.0,45.0,95/F/C/W/T Asphalt,95/F/C/W/T,Asphalt,THR: 133745.70N 0793117.05E RWY END: 133804.03N 0793322.42E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOTP-en-GB.html,14CC8EF3A660B3286D9ABE2B6B72538B01EBBC4A7E88B84E60EF646375A1B122
VOTP,26,261.50 DEG,3810.0,45.0,95/F/C/W/T Asphalt,95/F/C/W/T,Asphalt,THR: 133804.03N 0793322.42E RWY END: 133745.70N 0793117.05E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOTP-en-GB.html,14CC8EF3A660B3286D9ABE2B6B72538B01EBBC4A7E88B84E60EF646375A1B122
VOVZ,05,47.81 DEG,1829.0,45.0,80/F/C/X/T Concrete/Asphalt,80/F/C/X/T,Asphalt,THR: 174254.49N 0831304.70E RWY END: 174334.44N 0831350.70E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOVZ-en-GB.html,FA3AB39F10A092FA7A09D591DED6D7E13A5D9F86F277CB36251917DEA6E568ED
VOVZ,23,227.81 DEG,1829.0,45.0,80/F/C/X/T Concrete/Asphalt,80/F/C/X/T,Asphalt,THR: 174334.44N 0831350.70E RWY END: 174254.49N 0831304.70E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOVZ-en-GB.html,FA3AB39F10A092FA7A09D591DED6D7E13A5D9F86F277CB36251917DEA6E568ED
VOVZ,10,94.87 DEG,3050.0,45.0,78/F/C/X/T Concrete/Asphalt,78/F/C/X/T,Asphalt,THR: 174327.59N 0831307.87E RWY END: 174319.16N 0831451.02E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOVZ-en-GB.html,FA3AB39F10A092FA7A09D591DED6D7E13A5D9F86F277CB36251917DEA6E568ED
VOVZ,28,274.87 DEG,3050.0,45.0,78/F/C/X/T Concrete/Asphalt,78/F/C/X/T,Asphalt,THR: 174319.16N 0831451.02E RWY END: 174327.59N 0831307.87E,08-2026,https://aim-india.aai.aero/eaip/eaip-v2-08-2026/eAIP/IN-AD%202.1VOVZ-en-GB.html,FA3AB39F10A092FA7A09D591DED6D7E13A5D9F86F277CB36251917DEA6E568ED
