osm_way_id,asset_code,anchor_asset_code,source_name,display_name,normalized_name,structure_key,bridge_type,bridge_tag,highway,railway,ref,length_m_derived,width_m_reported,lanes_reported,material_reported,start_year_reported,latitude,longitude,is_named,identity_status,geometry_source,source_dataset,source_relation,render_width_m,render_width_basis,verified_pier_count,pier_count_status,digital_twin_strategy,rendering_estimated
22831597,AP_BR_OSM_W22831597,,Guntur - Parchuru Road,Guntur - Parchuru Road,guntur parchuru road,NAME::guntur parchuru road::ROAD,ROAD,yes,primary,,SH249,40.71,,,,,16.1880994,80.34344565,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
22838890,AP_BR_OSM_W22838890,,,Unnamed Road Bridge - OSM 22838890,,REF::nh167::ROAD,ROAD,yes,trunk,,NH167,151.41,,2.0,,,15.947247650000001,77.3614818,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
22838960,AP_BR_OSM_W22838960,,Dhone Main Road,Dhone Main Road,dhone main road,NAME::dhone main road::ROAD,ROAD,yes,secondary,,MDR078,1269.16,,,,,15.39543645882353,77.87306792058823,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
30434525,AP_BR_OSM_W30434525,,Srinivasa Flyover,Srinivasa Flyover,srinivasa flyover,NAME::srinivasa flyover::ROAD,ROAD,yes,primary,,,1677.21,,,,,13.61954122,79.43290673714286,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
32872887,AP_BR_OSM_W32872887,,,Unnamed Road Bridge - OSM 32872887,,OSM_WAY::32872887,ROAD,yes,tertiary,,,87.48,,,,,13.529813149999999,79.9092736,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
32873339,AP_BR_OSM_W32873339,,,Unnamed Road Bridge - OSM 32873339,,OSM_WAY::32873339,ROAD,yes,tertiary,,,31.84,,,,,13.5335735,79.89325625000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
45022241,AP_BR_OSM_W45022241,,,Unnamed Road Bridge - OSM 45022241,,REF::nh16::ROAD,ROAD,yes,trunk,,NH16,621.63,,2.0,,,18.374406399999998,83.9895535,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
45068355,AP_BR_OSM_W45068355,,Kanakadurga Varadhi - Vijayawada - Mangalagiri Road -  Old NH16 Road,Kanakadurga Varadhi - Vijayawada - Mangalagiri Road -  Old NH16 Road,kanakadurga varadhi vijayawada mangalagiri road old nh16 road,NAME::kanakadurga varadhi vijayawada mangalagiri road old nh16 road::ROAD,ROAD,yes,primary,,,1832.09,,2.0,,,16.493533,80.6270894125,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
45068997,AP_BR_OSM_W45068997,,,Unnamed Road Bridge - OSM 45068997,,REF::nh16::ROAD,ROAD,yes,trunk,,NH16,214.62,,3.0,,,16.741137600000002,81.07732730000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
47414450,AP_BR_OSM_W47414450,,,Unnamed Rail Bridge - OSM 47414450,,OSM_WAY::47414450,RAIL,yes,,rail,,531.19,,,,,14.9363522,77.57598996666667,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,6.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
