dataset,source_name,source_code,latitude,longitude,candidate_asset_id,candidate_asset_code,candidate_asset_name,match_score,alias_score,river_score,distance_km,method,recovery_status
ap_reservoir_level_1970_2025.csv,ADINIMMAYA PALLI,78.735,28.0,14.60138889,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,0.5926,0.5926,0.2727,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,CHENNARAJASWAMY GUDI,78.17944444,28.0,13.86111111,67,AP_DAM_WRIS_AP01MH0148,Varadaraja Swamy Gudi Dam,0.7317,0.7317,0.2222,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,KRISHNAPURAM.,79.35777778,28.0,13.36888889,57,AP_DAM_WRIS_AP01MH0052,Krishnapuram (Chittor) Dam,0.75,0.75,0.1739,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,MID PENNAR,77.40833333,28.0,14.875,7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,0.6364,0.6364,0.75,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,PENNAR KUMUDVATHY,77.41666667,28.0,13.95,53,AP_DAM_WRIS_AP01HH0132,Jhanjhavathi / Janjavathi Dam,0.4667,0.4667,0.2857,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,SRI SAILAM PROJECT,78.89972222,28.0,16.08305556,5,AP_DAM_NWDP_AP01VH0059,Srisailam Project (N.S.R.S.P),0.6207,0.6207,0.0,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,SUNKESULA,77.83305556,28.0,15.87583333,113,AP_DAM_WRIS_AP01LH0071,Sancherla Dam,0.5556,0.5556,0.0,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,SURATAPALLI.,79.87361111,28.0,13.33472222,62,AP_DAM_WRIS_D02269,Surampalem Dam,0.6667,0.6667,0.5217,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,TBP HLC   104.775 KM,76.97916667,28.0,14.99972222,48,AP_DAM_WRIS_AP01MH0047,Gajuladinne (Sanjeevaiah Sagar) Dam,0.3571,0.3571,0.0833,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_1970_2025.csv,U/S of Somasila Project,79.30722222,28.0,14.48833333,27,AP_DAM_WRIS_AP01HH0062,Somasila Dam,0.6957,0.6957,0.0952,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_2026_2030.csv,ADINIMMAYA PALLI,78.735,28.0,14.60138889,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,0.5926,0.5926,0.2727,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_2026_2030.csv,PENNAR KUMUDVATHY,77.41666667,28.0,13.95,53,AP_DAM_WRIS_AP01HH0132,Jhanjhavathi / Janjavathi Dam,0.4667,0.4667,0.2857,,REVIEW,STILL_UNMATCHED
ap_reservoir_level_2026_2030.csv,SRI SAILAM PROJECT,78.89972222,28.0,16.08305556,5,AP_DAM_NWDP_AP01VH0059,Srisailam Project (N.S.R.S.P),0.6207,0.6207,0.0,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_1970_2025.csv,CHENNARAJASWAMY GUDI,78.17944444,28.0,13.86111111,67,AP_DAM_WRIS_AP01MH0148,Varadaraja Swamy Gudi Dam,0.7317,0.7317,0.2222,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_1970_2025.csv,KRISHNAPURAM.,79.35777778,28.0,13.36888889,57,AP_DAM_WRIS_AP01MH0052,Krishnapuram (Chittor) Dam,0.75,0.75,0.1739,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_1970_2025.csv,MID PENNAR,77.40833333,28.0,14.875,7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,0.6364,0.6364,0.75,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_1970_2025.csv,PENNAR KUMUDVATHY,77.41666667,28.0,13.95,53,AP_DAM_WRIS_AP01HH0132,Jhanjhavathi / Janjavathi Dam,0.4667,0.4667,0.2857,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_1970_2025.csv,SRI SAILAM PROJECT,78.89972222,28.0,16.08305556,5,AP_DAM_NWDP_AP01VH0059,Srisailam Project (N.S.R.S.P),0.6207,0.6207,0.0,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_1970_2025.csv,SUNKESULA,77.83305556,28.0,15.87583333,113,AP_DAM_WRIS_AP01LH0071,Sancherla Dam,0.5556,0.5556,0.0,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_2026_2030.csv,PENNAR KUMUDVATHY,77.41666667,28.0,13.95,53,AP_DAM_WRIS_AP01HH0132,Jhanjhavathi / Janjavathi Dam,0.4667,0.4667,0.2857,,REVIEW,STILL_UNMATCHED
ap_reservoir_storage_2026_2030.csv,SRI SAILAM PROJECT,78.89972222,28.0,16.08305556,5,AP_DAM_NWDP_AP01VH0059,Srisailam Project (N.S.R.S.P),0.6207,0.6207,0.0,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,BENDI,84.38777778,28.0,18.725,185,AP_BAR_WRIS_B00435,Neradi Barrage,0.5455,0.5455,0.1333,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Bifercation of E&W Tammileru,81.09277778,28.0,16.7275,64,AP_DAM_WRIS_AP01MH0065,Thammileru Dam,0.4286,0.4286,0.4286,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,BM drain   Pallikona,80.79777778,28.0,16.05611111,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,0.5517,0.5517,0.25,,REVIEW,STILL_UNMATCHED
