dataset,source_name,normalized_name,source_code,parameter,latitude,longitude,row_count
ap_reservoir_level_1970_2025.csv,ADINIMMAYA PALLI,adinimmaya palli,78.735,,28.0,14.60138889,6243
ap_reservoir_level_1970_2025.csv,ARNIOR,arnior,79.7375,,28.0,13.395,6403
ap_reservoir_level_1970_2025.csv,BAHUDA,bahuda,78.62777778,,28.0,13.56388889,6309
ap_reservoir_level_1970_2025.csv,BHAIRAVANITIPPA PROJECT,bhairavanitippa,76.88305556,,28.0,14.53305556,6870
ap_reservoir_level_1970_2025.csv,CHENNARAJASWAMY GUDI,chennarajaswamy gudi,78.17944444,,28.0,13.86111111,6818
ap_reservoir_level_1970_2025.csv,KALANGI,kalangi,79.7925,,28.0,13.60805556,6621
ap_reservoir_level_1970_2025.csv,KALYANI DAM,kalyani,79.27,,28.0,13.64833333,6733
ap_reservoir_level_1970_2025.csv,KRISHNAPURAM.,krishnapuram,79.35777778,,28.0,13.36888889,6689
ap_reservoir_level_1970_2025.csv,MALLI MADUGU.,malli madugu,79.52166667,,28.0,13.67666667,6746
ap_reservoir_level_1970_2025.csv,MID PENNAR,mid pennar,77.40833333,,28.0,14.875,6876
ap_reservoir_level_1970_2025.csv,PEDDERU,pedderu,78.37583333,,28.0,13.89027778,8580
ap_reservoir_level_1970_2025.csv,PENNAR KUMUDVATHY,pennar kumudvathy,77.41666667,,28.0,13.95,6878
ap_reservoir_level_1970_2025.csv,SRI SAILAM PROJECT,sri sailam,78.89972222,,28.0,16.08305556,6721
ap_reservoir_level_1970_2025.csv,SUNKESULA,sunkesula,77.83305556,,28.0,15.87583333,6753
ap_reservoir_level_1970_2025.csv,SURATAPALLI.,suratapalli,79.87361111,,28.0,13.33472222,5384
ap_reservoir_level_1970_2025.csv,SWARNAMUKHI.,swarnamukhi,79.70111111,,28.0,13.75722222,6311
ap_reservoir_level_1970_2025.csv,TBP HLC   104.775 KM,tbp hlc 104 775 km,76.97916667,,28.0,14.99972222,6269
