SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,09-02-2026 10:00,126
2,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,09-02-2026 14:00,27
3,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,19-03-2026 17:00,2
4,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,19-03-2026 17:00,2
5,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,19-03-2026 18:00,0.5
6,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,19-03-2026 18:00,0.5
7,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,20-03-2026 20:00,11
8,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,20-03-2026 20:00,11
9,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,20-03-2026 21:00,15.5
10,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,20-03-2026 22:00,4
11,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,20-03-2026 22:00,4
12,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,05-04-2026 17:00,0.5
13,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,05-04-2026 18:00,1
14,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,05-04-2026 19:00,6
15,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,05-04-2026 20:00,1
16,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,06-04-2026 18:00,0.5
17,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,07-04-2026 14:00,0.5
18,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,07-04-2026 15:00,2
19,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,07-04-2026 16:00,0.5
20,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,17-04-2026 04:00,3
21,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,17-04-2026 15:00,83
22,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,29-04-2026 16:00,0.5
23,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,29-04-2026 16:00,0.5
24,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,30-04-2026 06:00,0.5
25,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,30-04-2026 06:00,0.5
26,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,30-04-2026 08:00,0.5
27,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 09:00,3
28,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 09:00,3
29,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 17:00,1
30,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 17:00,1
31,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 18:00,1.5
32,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 18:00,1.5
33,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 21:00,2
34,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,01-05-2026 21:00,2
