"source_file","normalized_file","original_width","original_height","normalized_width","normalized_height","source_sha256","normalized_sha256","normalization_status"
"4d96a0e2b9-Durga temple 02.jpg","img_001.jpg","960","1707","960","1707","4303ce4f5634597d8a90e679a770312075c8310f0e66176db1101f2630822ef6","e78ff61f52773ecb0c853fa9de00f81a62f652edd3b31a4bf3ab1cafa6300499","PASS"
"fa55c47101-Durga temple 03.jpg","img_002.jpg","960","1707","960","1707","1a9ece38a4a13acaa4568f168833bd500544a7b7a89c440387ca290ab8b460af","820f84bf39dc997ac22d7972e7ebb4d9cfb89872ea342a6b35a5fb7c74cce08a","PASS"
"81ea213bd2-DurgaDevi Temple.jpg","img_003.jpg","3840","2880","2200","1650","59f0048c9491aeff770e786d3837067fb9a3ab260caa4425c5afb0e2a615fe35","c4e7053261c85e126d2145d49400072ef78cb4991c716a12e20abaceccacb30a","PASS"
"4e83327281-Indrakeeladri and Prakasam Barrage from Tadepalli (02).jpg","img_004.jpg","3840","2560","2200","1467","4623f6157f36e75a3b1d034394f5e9e8669443551a361280b6bcb8230d9f048e","1010e2642343fd5c6861363d1b8576d208a98ec3d27a95e6a2e85cd28bc468ed","PASS"
"68fed15c6b-Indrakeeladri.jpg","img_005.jpg","3840","2880","2200","1650","decfd35253cbe9f59de9fad2d375fe69a051a22d244468fb80794aeabc06913c","11ce717c84ef8f41bd5ac49467991693642289a3f7e34b6b92562a07fa94555e","PASS"
"46851eb046-Kanaka Durga Temple.jpg","img_006.jpg","720","540","720","540","4febede7d87340689785edbd04126777ffbec337a648ba8d1b8d02ab97063273","32c4d25f9028e16adc49ef71baf42d368bd9e0b78a008aef9d6cb7dc0defb4e1","PASS"
"3fee69e053-Kanakadurga Temple gopuram.jpg","img_007.jpg","2592","1944","2200","1650","34dc0219d381399759e1830e9a0c12523baae2a2291f25e798bd2ce0ba3cef82","1f50c43b92c0c4f2603d079e01e2984b0dc661ccf9d20321b18664f9c372dd1a","PASS"
"fc714053ec-Kanakadurga Temple Vimana Gopuram.jpg","img_008.jpg","3840","2880","2200","1650","e2f7e3c99f98892cf26831b1715dec42f7b5a150445d737a62dbd3c002a5990e","907c8a64cc72822cacb43ed9129306c9334e504eacae42c00131126d424dc82a","PASS"
"794eed4fdb-Vijayawada durga temple hillmark.jpg","img_009.jpg","3840","2880","2200","1650","ce38c49e326ebcd57da36830cc2be074971ceb6d12246fb940acb3cc61d029e0","2a764793af35c2dd752d86f5442183878c0dbdf902b512a25401de985b1e7e6d","PASS"
"ca0c28bf66-Vijayawada durga temple.jpg","img_010.jpg","3840","2880","2200","1650","c04d32eb2d37beb1e23ee24bc60c308d20566e54b7f04d4451c2d488428b1e0e","33d428cc9ec86177e8f1d574d3510e3b7ed31e1ef121c0e878b35dd06ead24ff","PASS"
"799929be73-Vijayawada Kanaka Durga Temple - Gali Gopuram.jpg","img_011.jpg","1920","2560","1650","2200","b939be8971fe8d69484413dad77c76f8d8320b6cd11783f78ed5b7826b193924","b6d6a5aaac15d2f640962c4d7f892d5bf1ae80ab9ad22686970c98c0ddcf3188","PASS"
"b0b393df21-Vijayawada Kanakadurga Temple on Indrakeeladri.jpg","img_012.jpg","3840","2880","2200","1650","27cf8bee53b666d65bb4508c6144360e68054e281581513eae1179dcfbf9421b","999eae48e8db8f43b2f34eff26437f0b581758a06ee21735ecec76fa3cef7287","PASS"
"cedd4d82f9-Vijayawada temple.jpg","img_013.jpg","3840","2880","2200","1650","8dff45f0857050d25011daef88fb055205045b0f02524b30b019452f3d36e61b","7d6de50ffc8b6b1db2563f8fa3a8f41b2f60821a5d469f7ce71c3afdde7836fd","PASS"
"c33bf33375-Vijaywada temple.jpg","img_014.jpg","3840","844","2200","484","d00fe1761d099777501f6c9033235291af6f0bb03be8c8bde877ca7f795f11b5","9c09f6b13bdd68430190fa8ab70e75491bc7d40cf51519c1a0f0b9a0a9bafb26","PASS"
