"asset_code","name","asset_type","district","latitude","longitude","priority","osm2world_action","output_target"
"AP_DAM_WRIS_D01773","Ahobilam / Penna Ahobilam (Dr. K.S.P.A.B.R.) Dam","dam","Anantapur",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_D01773.glb"
"AP_DAM_WRIS_AP01MH0168","Akasaganga","dam","Chittoor",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01MH0168.glb"
"AP_DAM_WRIS_AP01LH0084","Akkapalem Dam","dam","Krishna",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01LH0084.glb"
"AP_DAM_WRIS_D06052","Alaganoor Dam","dam","Kurnool",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_D06052.glb"
"AP_DAM_WRIS_AP01LH0085","Ananthasagarm Dam","dam","Sri Potti Sriramulu Nellore",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01LH0085.glb"
"AP_DAM_WRIS_AP01MH0072","Andhra Dam","dam","Vizianagaram",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01MH0072.glb"
"AP_DAM_WRIS_AP01MH0021","Arniar Dam","dam","Chittoor",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01MH0021.glb"
"AP_DAM_WRIS_AP01HH0127","Bahuda Dam","dam","Chittoor",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01HH0127.glb"
"AP_DAM_WRIS_AP01MH0018","Bhairavanithippa Dam","dam","Anantapur",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_AP01MH0018.glb"
"AP_DAM_WRIS_D01879","Bhupathipalem Dam","dam","East Godavari",,,"3","GENERATE_DETAILED_OSM_CONTEXT_IF_OSM_TAGS_EXIST","/reality-twin/models/AP_DAM_WRIS_D01879.glb"
