"asset_code","name","asset_type","priority","generation_status","model_url","fidelity"
"AP_AIR_AAI_KADAPA","Kadapa Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_AAI_KADAPA/AP_AIR_AAI_KADAPA.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_AAI_KURNOOL","Kurnool Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_AAI_KURNOOL/AP_AIR_AAI_KURNOOL.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_AAI_RAJAHMUNDRY","Rajahmundry Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_AAI_RAJAHMUNDRY/AP_AIR_AAI_RAJAHMUNDRY.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_AAI_TIRUPATI","Tirupati Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_AAI_TIRUPATI/AP_AIR_AAI_TIRUPATI.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_VOTP","Tirupati Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_VOTP/AP_AIR_VOTP.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_VOBZ","Vijayawada Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_VOBZ/AP_AIR_VOBZ.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_AAI_VIJAYAWADA","Vijayawada Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_AAI_VIJAYAWADA/AP_AIR_AAI_VIJAYAWADA.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_AIR_AAI_VISAKHAPATNAM","Visakhapatnam Airport","airport","1","SUCCESS_GLB","/reality-twin/models/AP_AIR_AAI_VISAKHAPATNAM/AP_AIR_AAI_VISAKHAPATNAM.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_BAR_WRIS_B01201","Chagallur Barrage","barrage","2","SUCCESS_GLB","/reality-twin/models/AP_BAR_WRIS_B01201/AP_BAR_WRIS_B01201.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_BAR_WRIS_B00434","Gotta Barrage","barrage","2","SUCCESS_GLB","/reality-twin/models/AP_BAR_WRIS_B00434/AP_BAR_WRIS_B00434.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_BAR_WRIS_B00435","Neradi Barrage","barrage","2","SUCCESS_GLB","/reality-twin/models/AP_BAR_WRIS_B00435/AP_BAR_WRIS_B00435.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_DAM_00001","Prakasam Barrage","barrage","1","SUCCESS_GLB","/reality-twin/models/AP_DAM_00001/AP_DAM_00001.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_BAR_WRIS_B00800","Rallapadu Barrage","barrage","2","SUCCESS_GLB","/reality-twin/models/AP_BAR_WRIS_B00800/AP_BAR_WRIS_B00800.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_BAR_WRIS_B00131","Sir Arthur Cotton Barrage /Godavari Barrage","barrage","1","SUCCESS_GLB","/reality-twin/models/AP_BAR_WRIS_B00131/AP_BAR_WRIS_B00131.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
"AP_BAR_WRIS_B00448","Swarnamukhi Barrage","barrage","2","SUCCESS_GLB","/reality-twin/models/AP_BAR_WRIS_B00448/AP_BAR_WRIS_B00448.glb","L2_SOURCE_BACKED_OSM_CONTEXT"
