"asset_code","name","asset_type","district","latitude","longitude","priority","fidelity","model_status","local_model_count","model_format","model_path","workspace","dimension_authority","dimension_status","visual_strategy"
"AP_AIR_AAI_KADAPA","Kadapa Airport","airport","YSR Kadapa","14.5101","78.7728","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_AAI_KADAPA","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_AAI_KURNOOL","Kurnool Airport","airport","Kurnool","15.7163","78.1692","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_AAI_KURNOOL","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_AAI_RAJAHMUNDRY","Rajahmundry Airport","airport","East Godavari","17.1104","81.8182","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_AAI_RAJAHMUNDRY","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_AAI_TIRUPATI","Tirupati Airport","airport","Tirupati","13.6325","79.5433","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_AAI_TIRUPATI","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_VOTP","Tirupati Airport","airport","Tirupati","13.633056","79.541944","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_VOTP","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_AAI_VIJAYAWADA","Vijayawada Airport","airport","Krishna","16.5304","80.7968","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_AAI_VIJAYAWADA","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_VOBZ","Vijayawada Airport","airport","Krishna","16.533611","80.803333","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_VOBZ","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_AIR_AAI_VISAKHAPATNAM","Visakhapatnam Airport","airport","Visakhapatnam","17.7212","83.2245","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_AIR_AAI_VISAKHAPATNAM","AAI / AIS AIP / airport engineering documents","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_AIP_DIMENSIONS"
"AP_DAM_00001","Prakasam Barrage","barrage","NTR","16.5075","80.6052777777778","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_DAM_00001","CWC / AP WRD / DPR","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_SOURCE_DIMENSIONS"
"AP_BAR_WRIS_B00131","Sir Arthur Cotton Barrage /Godavari Barrage","barrage","East Godavari","16.93630906","81.75615385","1","L1_SOURCE_BACKED_PENDING_ASSET_MODEL","NO_ASSET_SPECIFIC_MODEL","0","","","D:\simras-digital-twin-repository\simras-digital-twin\data\reality_twin\all_assets\AP_BAR_WRIS_B00131","CWC / AP WRD / DPR","USE_ONLY_SOURCE_BACKED_VALUES","PHOTOREALISTIC_3D_CONTEXT_PLUS_SOURCE_DIMENSIONS"
