"priority","asset_code","name","asset_type","district","identity_status","reality_pack","imagery_status","model_status"
"1","AP_AIR_VOTP","Tirupati Airport","airport","Tirupati","VERIFIED","data\reality_twin\AP_AIR_VOTP","NOT_STARTED","NOT_AUDITED"
"1","AP_AIR_AAI_TIRUPATI","Tirupati Airport","airport","Tirupati","VERIFIED","data\reality_twin\AP_AIR_AAI_TIRUPATI","NOT_STARTED","NOT_AUDITED"
"1","AP_AIR_AAI_VIJAYAWADA","Vijayawada Airport","airport","Krishna","VERIFIED","data\reality_twin\AP_AIR_AAI_VIJAYAWADA","NOT_STARTED","NOT_AUDITED"
"1","AP_AIR_VOBZ","Vijayawada Airport","airport","Krishna","VERIFIED","data\reality_twin\AP_AIR_VOBZ","NOT_STARTED","NOT_AUDITED"
"1","AP_AIR_AAI_VISAKHAPATNAM","Visakhapatnam Airport","airport","Visakhapatnam","VERIFIED","data\reality_twin\AP_AIR_AAI_VISAKHAPATNAM","NOT_STARTED","NOT_AUDITED"
"1","AP_DAM_00001","Prakasam Barrage","barrage","NTR","VERIFIED","data\reality_twin\AP_DAM_00001","NOT_STARTED","NOT_AUDITED"
"1","AP_BAR_WRIS_B00131","Sir Arthur Cotton Barrage /Godavari Barrage","barrage","East Godavari","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00131","NOT_STARTED","NOT_AUDITED"
"1","AP_BR_00001","Godavari Arch Bridge","bridge","East Godavari","NEEDS_VERIFICATION","data\reality_twin\AP_BR_00001","NOT_STARTED","NOT_AUDITED"
"1","AP_BR_00002","Kanaka Durga Flyover","bridge","NTR","VERIFIED","data\reality_twin\AP_BR_00002","NOT_STARTED","NOT_AUDITED"
"1","AP_DAM_WRIS_AP01MH0092","Gandicheruvu (Dist-Prakasam) Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0092","NOT_STARTED","NOT_AUDITED"
"1","AP_DAM_00002","Polavaram Project","dam","Eluru","NEEDS_VERIFICATION","data\reality_twin\AP_DAM_00002","NOT_STARTED","NOT_AUDITED"
"1","AP_DAM_WRIS_AP01HH0062","Somasila Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0062","NOT_STARTED","NOT_AUDITED"
"1","AP_DAM_NWDP_AP01VH0059","Srisailam Project (N.S.R.S.P)","dam","Nandyal","VERIFIED","data\reality_twin\AP_DAM_NWDP_AP01VH0059","NOT_STARTED","NOT_AUDITED"
"1","AP_TEMPLE_SRISAILAM","Sri Mallikarjuna Swamy Temple, Srisailam","temple","Nandyal","VERIFIED","data\reality_twin\AP_TEMPLE_SRISAILAM","NOT_STARTED","NOT_AUDITED"
"1","AP_TEMPLE_SIMHACHALAM","Sri Varaha Lakshmi Narasimha Temple, Simhachalam","temple","Visakhapatnam","VERIFIED","data\reality_twin\AP_TEMPLE_SIMHACHALAM","NOT_STARTED","NOT_AUDITED"
"1","AP_TEMPLE_ANNAVARAM","Sri Veera Venkata Satyanarayana Swamy Temple, Annavaram","temple","Kakinada","VERIFIED","data\reality_twin\AP_TEMPLE_ANNAVARAM","NOT_STARTED","NOT_AUDITED"
"1","AP_TEMPLE_DWARAKA_TIRUMALA","Sri Venkateswara Swamy Temple, Dwaraka Tirumala","temple","Eluru","VERIFIED","data\reality_twin\AP_TEMPLE_DWARAKA_TIRUMALA","NOT_STARTED","NOT_AUDITED"
"1","AP_TEMPLE_TIRUMALA","Sri Venkateswara Swamy Temple, Tirumala","temple","Tirupati","VERIFIED","data\reality_twin\AP_TEMPLE_TIRUMALA","NOT_STARTED","NOT_AUDITED"
"2","AP_TEMPLE_KANAKA_DURGA","Sri Durga Malleswara Swamy Varla Devasthanam","temple","NTR","VERIFIED","data\reality_twin\AP_TEMPLE_KANAKA_DURGA","STARTED","NOT_AUDITED"
"2","AP_TEMPLE_SRIKALAHASTI","Sri Kalahasteeswara Swamy Temple","temple","Tirupati","VERIFIED","data\reality_twin\AP_TEMPLE_SRIKALAHASTI","NOT_STARTED","NOT_AUDITED"
"3","AP_AIR_AAI_KADAPA","Kadapa Airport","airport","YSR Kadapa","VERIFIED","data\reality_twin\AP_AIR_AAI_KADAPA","NOT_STARTED","NOT_AUDITED"
"3","AP_AIR_AAI_KURNOOL","Kurnool Airport","airport","Kurnool","VERIFIED","data\reality_twin\AP_AIR_AAI_KURNOOL","NOT_STARTED","NOT_AUDITED"
"3","AP_AIR_AAI_RAJAHMUNDRY","Rajahmundry Airport","airport","East Godavari","VERIFIED","data\reality_twin\AP_AIR_AAI_RAJAHMUNDRY","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B01201","Chagallur Barrage","barrage","Anantapur","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B01201","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B00434","Gotta Barrage","barrage","Srikakulam","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00434","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B00435","Neradi Barrage","barrage","Srikakulam","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00435","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B00800","Rallapadu Barrage","barrage","Prakasam","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00800","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B00448","Swarnamukhi Barrage","barrage","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00448","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B00165","Tarakarama Thirtha Sagaram Barrage","barrage","Vizianagaram","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00165","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B00429","Thotapalli Barrage","barrage","Vizianagaram","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B00429","NOT_STARTED","NOT_AUDITED"
"3","AP_BAR_WRIS_B01609","Vaikuntapuram Barrage","barrage","Guntur","CANDIDATE","data\reality_twin\AP_BAR_WRIS_B01609","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D01773","Ahobilam / Penna Ahobilam (Dr. K.S.P.A.B.R.) Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D01773","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0168","Akasaganga","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0168","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0084","Akkapalem Dam","dam","Krishna","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0084","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06052","Alaganoor Dam","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06052","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0085","Ananthasagarm Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0085","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0072","Andhra Dam","dam","Vizianagaram","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0072","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0021","Arniar Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0021","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0127","Bahuda Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0127","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0018","Bhairavanithippa Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0018","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D01879","Bhupathipalem Dam","dam","East Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D01879","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0019","Buggavagu Dam","dam","Guntur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0019","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0073","Buggavanka Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0073","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0034","Bukkapatnam Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0034","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0128","Chagallu Barrage Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0128","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0086","Chennapatnam Cheruvu","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0086","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0129","Cheyyeru / Annamayya Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0129","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0087","Chikkavadiyar, Anantapur","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0087","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0090","Chinna Tippa Samudram
Tank","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0090","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0089","Chinnagottigallu Tank","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0089","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0026","Chinnarayaswamy Gudi /Chennaraya Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0026","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0091","Chintakuntavagu Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0091","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D00569","Chitravathi Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D00569","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0001","Cumbum Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0001","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0077","Dharakalava Reservoir","dam","East Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0077","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0125","Dharmavaram Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0125","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0002","Dondapadu Tank","dam","Guntur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0002","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0057","Donkarai ( S.H.E.S)","dam","Malkangiri","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0057","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0080","Earlakatta  Tank","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0080","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06074","Eguva Thamballa Palli - Cheruvu Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06074","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_TL47HH0060","Forebay Lower Sileru ( S.H.E.S) Dam","dam","Khammam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_TL47HH0060","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0047","Gajuladinne (Sanjeevaiah Sagar) Dam","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0047","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0063","Gandipalem /Pcr Gandipalem Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0063","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D02672","Ghambiramgedda Dam","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D02672","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0167","Gogarbham Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0167","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06350","Gooty Tank","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06350","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0130","Gorakallu Dam","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0130","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0093","Gowricheru, Mogili","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0093","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0033","Gujjuvai  Reservoir","dam","Vizianagaram","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0033","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0094","Gullur Tank","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0094","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D00587","Gundlakamma Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D00587","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D03507","Gundlamotu Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D03507","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0095","Gundlamotu Reservoir","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0095","NOT_STARTED","NOT_AUDITED"
